b0002	thrA
b0003	thrB
b0004	thrC
b0007	yaaJ
b0008	talB
b0009	mog
b0019	nhaA
b0025	ribF
b0026	ileS
b0029	ispH
b0030	rihC
b0031	dapB
b0032	carA
b0033	carB
b0036	caiD
b0037	caiC
b0038	caiB
b0040	caiT
b0047	kefC
b0048	folA
b0049	apaH
b0052	pdxA
b0061	araD
b0062	araA
b0063	araB
b0066	thiQ
b0067	thiP
b0068	thiB
b0070	setA
b0071	leuD
b0072	leuC
b0073	leuB
b0074	leuA
b0077	ilvI
b0078	ilvH
b0084	ftsI
b0085	murE
b0086	murF
b0087	mraY
b0088	murD
b0090	murG
b0091	murC
b0092	ddlB
b0096	lpxC
b0099	mutT
b0103	coaE
b0104	guaC
b0109	nadC
b0110	ampD
b0112	aroP
b0114	aceE
b0115	aceF
b0116	lpd
b0118	acnB
b0120	speD
b0121	speE
b0123	cueO
b0124	gcd
b0125	hpt
b0126	can
b0131	panD
b0133	panC
b0134	panB
b0142	folK
b0149	mrcB
b0150	fhuA
b0151	fhuC
b0152	fhuD
b0153	fhuB
b0154	hemL
b0155	clcA
b0158	btuF
b0159	mtn
b0160	dgt
b0166	dapD
b0171	pyrH
b0173	dxr
b0174	ispU
b0175	cdsA
b0179	lpxD
b0180	fabZ
b0181	lpxA
b0182	lpxB
b0185	accA
b0186	ldcC
b0194	proS
b0197	metQ
b0198	metI
b0199	metN
b0200	gmhB
b0207	dkgB
b0212	gloB
b0221	fadE
b0222	gmhA
b0237	pepD
b0238	gpt
b0241	phoE
b0242	proB
b0243	proA
b0260	mmuP
b0261	mmuM
b0273	argF
b0306	ykgE
b0307	ykgF
b0308	ykgG
b0311	betA
b0312	betB
b0314	betT
b0323	yahI
b0331	prpB
b0333	prpC
b0334	prpD
b0336	codB
b0337	codA
b0339	cynT
b0340	cynS
b0341	cynX
b0343	lacY
b0344	lacZ
b0347	mhpA
b0348	mhpB
b0349	mhpC
b0350	mhpD
b0351	mhpF
b0352	mhpE
b0353	mhpT
b0355	frmB
b0356	frmA
b0365	tauA
b0366	tauB
b0367	tauC
b0368	tauD
b0369	hemB
b0381	ddlA
b0383	phoA
b0386	proC
b0388	aroL
b0394	mak
b0401	brnQ
b0403	malZ
b0404	acpH
b0411	tsx
b0414	ribD
b0415	ribE
b0417	thiL
b0418	pgpA
b0420	dxs
b0421	ispA
b0423	thiI
b0425	panE
b0428	cyoE
b0429	cyoD
b0430	cyoC
b0431	cyoB
b0432	cyoA
b0433	ampG
b0444	queC
b0446	cof
b0451	amtB
b0452	tesB
b0459	maa
b0462	acrB
b0463	acrA
b0469	apt
b0474	adk
b0475	hemH
b0477	gsk
b0480	ushA
b0484	copA
b0485	glsA
b0494	tesA
b0505	allA
b0507	gcl
b0508	hyi
b0509	glxR
b0511	ybbW
b0512	allB
b0514	glxK
b0516	allC
b0517	allD
b0521	ybcF
b0522	purK
b0523	purE
b0524	lpxH
b0526	cysS
b0529	folD
b0572	cusC
b0573	cusF
b0574	cusB
b0575	cusA
b0576	pheP
b0578	nfsB
b0583	entD
b0584	fepA
b0585	fes
b0586	entF
b0588	fepC
b0589	fepG
b0590	fepD
b0591	entS
b0592	fepB
b0593	entC
b0594	entE
b0595	entB
b0596	entA
b0604	dsbG
b0612	citT
b0613	citG
b0614	citX
b0615	citF
b0616	citE
b0617	citD
b0621	dcuC
b0622	pagP
b0628	lipA
b0630	lipB
b0632	dacA
b0635	mrdA
b0638	cobC
b0639	nadD
b0642	leuS
b0650	hscC
b0651	rihA
b0652	gltL
b0653	gltK
b0654	gltJ
b0655	gltI
b0657	lnt
b0662	ubiF
b0674	asnB
b0677	nagA
b0678	nagB
b0679	nagE
b0680	glnS
b0684	fldA
b0688	pgm
b0692	potE
b0693	speF
b0696	kdpC
b0697	kdpB
b0698	kdpA
b0709	dtpD
b0720	gltA
b0721	sdhC
b0722	sdhD
b0723	sdhA
b0724	sdhB
b0726	sucA
b0727	sucB
b0728	sucC
b0729	sucD
b0731	mngA
b0732	mngB
b0733	cydA
b0734	cydB
b0736	ybgC
b0750	nadA
b0751	pnuC
b0752	zitB
b0754	aroG
b0755	gpmA
b0756	galM
b0757	galK
b0758	galT
b0759	galE
b0763	modA
b0764	modB
b0765	modC
b0766	ybhA
b0767	pgl
b0774	bioA
b0775	bioB
b0776	bioF
b0777	bioC
b0778	bioD
b0781	moaA
b0783	moaC
b0784	moaD
b0785	moaE
b0789	clsB
b0805	fiu
b0809	glnQ
b0810	glnP
b0811	glnH
b0813	rhtA
b0822	ybiV
b0825	fsaA
b0826	moeB
b0827	moeA
b0828	iaaA
b0829	gsiA
b0830	gsiB
b0831	gsiC
b0832	gsiD
b0837	yliI
b0839	dacC
b0841	ybjG
b0842	mdfA
b0849	grxA
b0854	potF
b0855	potG
b0856	potH
b0857	potI
b0860	artJ
b0861	artM
b0862	artQ
b0863	artI
b0864	artP
b0870	ltaE
b0871	poxB
b0875	aqpZ
b0886	cydC
b0887	cydD
b0888	trxB
b0893	serS
b0894	dmsA
b0895	dmsB
b0896	dmsC
b0902	pflA
b0903	pflB
b0904	focA
b0907	serC
b0908	aroA
b0910	cmk
b0914	msbA
b0915	lpxK
b0918	kdsB
b0928	aspC
b0929	ompF
b0930	asnS
b0931	pncB
b0932	pepN
b0933	ssuB
b0934	ssuC
b0935	ssuD
b0936	ssuA
b0937	ssuE
b0945	pyrD
b0954	fabA
b0957	ompA
b0963	mgsA
b0968	yccX
b0972	hyaA
b0973	hyaB
b0974	hyaC
b0978	cbdA
b0979	cbdB
b0980	appA
b0996	torC
b0997	torA
b1002	agp
b1006	rutG
b1007	rutF
b1008	rutE
b1009	rutD
b1010	rutC
b1011	rutB
b1012	rutA
b1014	putA
b1015	putP
b1033	ghrA
b1054	lpxL
b1059	solA
b1062	pyrC
b1064	grxB
b1069	murJ
b1090	plsX
b1091	fabH
b1092	fabD
b1093	fabG
b1094	acpP
b1095	fabF
b1096	pabC
b1098	tmk
b1101	ptsG
b1102	fhuE
b1106	thiK
b1107	nagZ
b1109	ndh
b1119	nagK
b1123	potD
b1124	potC
b1125	potB
b1126	potA
b1131	purB
b1134	nudJ
b1136	icd
b1185	dsbB
b1186	nhaB
b1189	dadA
b1190	dadX
b1192	ldcA
b1193	emtA
b1197	treA
b1198	dhaM
b1199	dhaL
b1200	dhaK
b1206	dauA
b1207	prs
b1208	ispE
b1210	hemA
b1215	kdsA
b1216	chaA
b1223	narK
b1224	narG
b1225	narH
b1226	narJ
b1227	narI
b1232	purU
b1236	galU
b1238	tdk
b1241	adhE
b1243	oppA
b1244	oppB
b1245	oppC
b1246	oppD
b1247	oppF
b1249	clsA
b1250	kch
b1252	tonB
b1260	trpA
b1261	trpB
b1262	trpC
b1263	trpD
b1264	trpE
b1270	btuR
b1276	acnA
b1277	ribA
b1278	pgpB
b1281	pyrF
b1288	fabI
b1291	sapD
b1296	puuP
b1297	puuA
b1298	puuD
b1300	puuC
b1301	puuB
b1302	puuE
b1308	pspE
b1319	ompG
b1325	ycjG
b1326	mpaA
b1329	mppA
b1363	trkG
b1377	ompN
b1378	pfo
b1380	ldhA
b1385	feaB
b1386	tynA
b1387	paaZ
b1388	paaA
b1389	paaB
b1390	paaC
b1391	paaD
b1392	paaE
b1393	paaF
b1394	paaG
b1395	paaH
b1397	paaJ
b1398	paaK
b1415	aldA
b1440	ydcS
b1441	ydcT
b1442	ydcU
b1443	ydcV
b1444	patD
b1453	ansP
b1463	nhoA
b1465	narV
b1466	narW
b1467	narY
b1468	narZ
b1469	narU
b1473	yddG
b1474	fdnG
b1475	fdnH
b1476	fdnI
b1478	adhP
b1479	maeA
b1483	ddpF
b1484	ddpD
b1485	ddpC
b1486	ddpB
b1487	ddpA
b1488	ddpX
b1489	dosP
b1492	gadC
b1493	gadB
b1519	tam
b1521	uxaB
b1524	glsB
b1525	sad
b1528	ydeA
b1533	eamA
b1539	ydfG
b1584	speG
b1587	ynfE
b1588	ynfF
b1589	ynfG
b1590	ynfH
b1592	clcB
b1599	mdtI
b1600	mdtJ
b1602	pntB
b1603	pntA
b1605	ydgI
b1606	folM
b1611	fumC
b1612	fumA
b1613	manA
b1621	malX
b1622	malY
b1623	add
b1634	dtpA
b1636	pdxY
b1637	tyrS
b1638	pdxH
b1640	anmK
b1646	sodC
b1651	gloA
b1654	grxD
b1656	sodB
b1661	cfa
b1662	ribC
b1676	pykF
b1677	lpp
b1679	sufE
b1680	sufS
b1681	sufD
b1682	sufC
b1683	sufB
b1684	sufA
b1692	ydiB
b1693	aroD
b1701	fadK
b1702	ppsA
b1704	aroH
b1709	btuD
b1710	btuE
b1711	btuC
b1713	pheT
b1714	pheS
b1719	thrS
b1723	pfkB
b1732	katE
b1734	chbF
b1740	nadE
b1744	astE
b1745	astB
b1746	astD
b1747	astA
b1748	astC
b1759	nudG
b1761	gdhA
b1764	selD
b1767	ansA
b1768	pncA
b1773	ydjI
b1778	msrB
b1779	gapA
b1781	yeaE
b1800	dmlA
b1801	yeaV
b1805	fadD
b1812	pabB
b1814	sdaA
b1817	manX
b1818	manY
b1819	manZ
b1849	purT
b1850	eda
b1851	edd
b1852	zwf
b1854	pykA
b1855	lpxM
b1857	znuA
b1858	znuC
b1859	znuB
b1865	nudB
b1866	aspS
b1872	torZ
b1873	torY
b1876	argS
b1896	otsA
b1897	otsB
b1900	araG
b1901	araF
b1907	tyrP
b1912	pgsA
b1919	dcyD
b1927	amyA
b1981	shiA
b1982	amn
b1991	cobT
b1992	cobS
b1993	cobU
b2010	dacD
b2019	hisG
b2020	hisD
b2021	hisC
b2022	hisB
b2023	hisH
b2024	hisA
b2025	hisF
b2026	hisI
b2027	wzzB
b2028	ugd
b2029	gnd
b2032	wbbK
b2033	wbbJ
b2034	wbbI
b2035	wbbH
b2036	glf
b2037	wzxB
b2038	rfbC
b2039	rfbA
b2040	rfbD
b2041	rfbB
b2045	wcaK
b2048	cpsG
b2049	cpsB
b2051	wcaH
b2052	wcaG
b2053	gmd
b2065	dcd
b2066	udk
b2091	gatD
b2092	gatC
b2093	gatB
b2094	gatA
b2095	gatZ
b2096	gatY
b2097	fbaB
b2103	thiD
b2104	thiM
b2114	metG
b2128	yehW
b2129	yehX
b2130	yehY
b2131	osmF
b2132	bglX
b2133	dld
b2134	pbpG
b2143	cdd
b2146	preT
b2147	preA
b2148	mglC
b2149	mglA
b2150	mglB
b2153	folE
b2154	yeiG
b2155	cirA
b2156	lysP
b2162	rihB
b2167	fruA
b2168	fruK
b2169	fruB
b2170	setB
b2174	lpxT
b2197	ccmE
b2198	ccmD
b2199	ccmC
b2200	ccmB
b2201	ccmA
b2202	napC
b2203	napB
b2204	napH
b2205	napG
b2206	napA
b2210	mqo
b2215	ompC
b2221	atoD
b2222	atoA
b2223	atoE
b2224	atoB
b2232	ubiG
b2234	nrdA
b2235	nrdB
b2239	glpQ
b2240	glpT
b2241	glpA
b2242	glpB
b2243	glpC
b2251	nudI
b2253	arnB
b2254	arnC
b2255	arnA
b2256	arnD
b2257	arnT
b2258	arnF
b2260	menE
b2261	menC
b2262	menB
b2263	menH
b2264	menD
b2265	menF
b2276	nuoN
b2277	nuoM
b2278	nuoL
b2279	nuoK
b2280	nuoJ
b2281	nuoI
b2282	nuoH
b2283	nuoG
b2284	nuoF
b2285	nuoE
b2286	nuoC
b2287	nuoB
b2288	nuoA
b2290	alaA
b2291	yfbR
b2296	ackA
b2297	pta
b2303	folX
b2306	hisP
b2307	hisM
b2308	hisQ
b2309	hisJ
b2310	argT
b2311	ubiX
b2312	purF
b2315	folC
b2316	accD
b2320	pdxB
b2323	fabB
b2328	mepA
b2329	aroC
b2341	fadJ
b2342	fadI
b2344	fadL
b2366	dsdA
b2373	oxc
b2374	frc
b2378	lpxP
b2379	alaC
b2388	glk
b2392	mntH
