minutes	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.72644288563953	0.71216917041017	0.60497376887629	0.49884225575007	0.60902072732006	0.59831560186882	0.69852637336284	0.66361760270452	0.68248021251204	0.6378220196948	0.61308939417234	0.80391201143788	0.71471438765679	0.7244403100099	0.52694343623135	0.64269624821051	0.64355688701155	0.59132398391275	0.5672370854629	0.56754451191148	0.6524961585439	0.57228895784043	0.65069417600908	0.61425191614073	0.60906757535692	0.71630715749508	0.75372830141378	0.62057169086316	0.58450364444128	0.7357026002052	0.59121360245718	0.66449934601555	0.57708735543749	0.62900976803876	0.65223485664014	0.64413988680164	0.59969249873263	0.61204184550961	0.66459775244102	0.5990398692813	0.64604312479436	0.71749435111483	0.65657972303677	0.49082144908334	0.62833951676683	0.59807688027635	0.65276887328276	0.64396647010365	0.6422884607377	0.55480499137307	0.60485123900645	0.62094217228229	0.6696649151079	0.68839098501531	0.76343369190676	0.61380559585797	0.60971707872369	0.72254401038216	0.5571516378896	0.58099189009393	0.69712887035765	0.62004748106808	0.78576288078091	0.67626084521629	0.362101822319	0.53802499845884	0.5194461632913	0.61307383007751	0.71205072157029	0.54619502664409	0.67037572803308	0.46048796019132	0.57744605972324	0.70754536620205	0.62680884725019	0.80428637621389	0.73328557871454	0.62134503036526	0.64340483075783	0.74492952325454	0.69232808249403	0.57961206375288	0.55767093079368	0.59513645228749	0.37381270405043	0.5646775250701	0.60565052801918	0.67805082261749	0.60876872627939	0.58915959029906	0.66725005829638	0.57758722061169	0.60258740633681	0.50421999592208	0.6791863932087	0.66142626434271
3	0.72733515521866	0.71129045903167	0.60092678578063	0.50232674311673	0.61337494594603	0.60502419720702	0.67306085797026	0.66100089093151	0.68002162743642	0.63769073758171	0.61072142672267	0.80316625650027	0.72055375733572	0.72879959951031	0.5258426144633	0.63857716074705	0.64184743183145	0.58938459602388	0.50196998198143	0.56722796196046	0.6582366000794	0.56313854743417	0.65220204553293	0.61613101146864	0.60901841913053	0.71894521344784	0.72193782245958	0.62828649549869	0.59298112877527	0.74245462111176	0.59060971784561	0.667100505691	0.57446015329262	0.63718844857971	0.6573006157332	0.64666026610593	0.59942179670821	0.6120529945085	0.66718297328003	0.59727920828952	0.64527463460502	0.71993880649383	0.6560573116577	0.49234719044285	0.6310877847273	0.60375344384167	0.65052676621505	0.64483750229062	0.64251280569132	0.54071642575155	0.59944722062876	0.61842737370742	0.662934649139	0.69185117151817	0.76165083750836	0.61093795782982	0.60757520079026	0.72485911663214	0.55724467258919	0.57415325212982	0.69631318754584	0.62263405363349	0.78679587198231	0.67197179380285	0.37007312095823	0.53292791364815	0.51520363228849	0.61480621178212	0.71351417691696	0.54994851811464	0.66713371509332	0.45871223280806	0.57814068086446	0.7001004288777	0.62697996235969	0.80150315647379	0.73453497126347	0.62683315876014	0.64744907516163	0.74495864550209	0.69032650198898	0.58198266194933	0.56122921811805	0.59696266385143	0.37379731468256	0.56862110797417	0.59934825069597	0.67723467010685	0.61192106132367	0.58484643567908	0.66454787395283	0.57962487764859	0.60572861428862	0.50525468837411	0.67507555743402	0.66533784553753
6	0.72842978925797	0.71132650801325	0.59561490208569	0.51125395386199	0.61929981393263	0.61362067967382	0.66331476555111	0.66178884912186	0.68197188847383	0.63824702803845	0.60915639885166	0.8044990749833	0.72269058563189	0.72971714841678	0.53161455575222	0.63624185466613	0.64604147129865	0.58850943221305	0.50206846095291	0.56619156025993	0.66087845148687	0.57296497673297	0.65184863836775	0.62054200646611	0.60891402545665	0.72369113885539	0.72434805299569	0.62775698497988	0.57948306289836	0.74900247390676	0.58103113223773	0.67144975106388	0.57606596697199	0.64139443670263	0.65486391035689	0.65001755067599	0.59900254174412	0.6099794339391	0.6731054597305	0.60064969292155	0.64769338812385	0.72765935753133	0.65548220538251	0.49268055977687	0.63411390690692	0.6069238302066	0.65234306177015	0.64442438976856	0.64082973851273	0.55730823221921	0.60494007517078	0.61576756092249	0.66354995026491	0.6966223748354	0.75906402305951	0.61246226908313	0.60952682772944	0.72834107259601	0.5568182232696	0.5700732050264	0.69509278055175	0.61730659672534	0.78193600486064	0.66692634911476	0.36446132528938	0.53785268479832	0.51524234204626	0.61650609646271	0.71534422543059	0.55875985848879	0.68443668421427	0.46181017614314	0.5759036305754	0.7119919689629	0.63007161957976	0.80668627239665	0.73776736184059	0.63297591023692	0.64999593490623	0.75053979597664	0.69473115795248	0.59441015120318	0.56505340168245	0.60075057715587	0.37319974970818	0.56694004897407	0.59688941556198	0.67255764436123	0.61456442838627	0.58925638395375	0.66216270692875	0.58169949728046	0.60960775383067	0.50543514384298	0.6660423796036	0.66754852751339
9	0.72948299100725	0.71282786535639	0.59668490477235	0.51197939485509	0.62480333878846	0.61795958948041	0.66450789843532	0.66404121708538	0.68525785026333	0.6412864529735	0.60940818566128	0.80762548627093	0.72385994733027	0.73664494921298	0.53440399356851	0.63115389683261	0.6510619739702	0.58986083930462	0.51018243009908	0.56979727590371	0.6623176969826	0.57190305662004	0.65514117618309	0.6227382526348	0.60904317595057	0.72155609759156	0.72134936305455	0.62229117821217	0.58325309977554	0.75336043635165	0.57898496547691	0.67879249574218	0.57806145301977	0.64754571824695	0.6632122194311	0.65205788456348	0.59855668237196	0.62062904572327	0.68169140612472	0.5978948381022	0.65011374310278	0.7294930767939	0.65474422048737	0.49525998204372	0.63488716260527	0.60859025650442	0.65359071699822	0.64364757268888	0.63893930866607	0.55284815685301	0.608028945889	0.6128430291318	0.66749468446618	0.69778150908422	0.75876502346877	0.6146203003991	0.61949897517115	0.73664990786214	0.56256103761587	0.57269352432491	0.690007580251	0.62355768246398	0.78915532213524	0.6655143893691	0.36207201734479	0.5369057101297	0.51245686500821	0.61874591119174	0.71280805934509	0.56298970111695	0.68273289115648	0.46537175024618	0.57678098196523	0.70660713610811	0.63566949652051	0.78147714022866	0.74238779924793	0.63938061679469	0.66080680887241	0.75265482217392	0.69865893810246	0.60199027226366	0.57137151754198	0.60542447984026	0.37228303262579	0.5678970459119	0.60102956775713	0.66534374497419	0.6291267220503	0.59006168258571	0.66360549301302	0.58277500667942	0.61702496987278	0.5098073414135	0.66703263979563	0.66406531444782
12	0.73057681839382	0.71830937846362	0.59740532138028	0.51353787895144	0.6310822007631	0.62695382117293	0.67282998070735	0.65288935179158	0.68893461426997	0.64755483870522	0.60993920060489	0.81058200602928	0.72455090789784	0.74189762830794	0.5379260058956	0.63415911031919	0.65781238242452	0.5917178770351	0.50842239336635	0.57093324202067	0.66766459388676	0.5743654978638	0.6624909423963	0.62763488320639	0.60924379411875	0.72762266582726	0.72712274304194	0.62437748598216	0.58673551498918	0.75810384991595	0.58260490356784	0.68762851010187	0.57975657612506	0.65348563495901	0.66083611964961	0.65378094518582	0.59803304464369	0.62041304107733	0.68278810189597	0.6044496093004	0.65858769942076	0.73259026162892	0.65568879654455	0.50024852458098	0.63772631331708	0.60993847191105	0.65608762203057	0.64900947428199	0.63932915307552	0.55679495857865	0.61282801316167	0.61281328824219	0.66687817877022	0.69798888161911	0.76152527257796	0.61899226177146	0.62726072119484	0.74121089037759	0.56971995938641	0.57469949654414	0.69153744148761	0.62167576808418	0.79063432390367	0.66648023213262	0.36016093228192	0.53959166567812	0.51515187463141	0.61827509348527	0.71871957257784	0.56902942644993	0.68895795773264	0.467046220058	0.57527895967145	0.70818513149758	0.64417403767617	0.78705399736174	0.74380723705185	0.63937108041407	0.66418575049023	0.75859243361734	0.70392945504507	0.603784429583	0.575053823341	0.60960870248781	0.37145351589457	0.56880270147704	0.60393269274833	0.67585623570519	0.63562871836756	0.6019180363804	0.66680460968757	0.58931128378574	0.61852363305625	0.50645809780637	0.67103745224522	0.66347582210475
15	0.73169905913835	0.72085821334748	0.6025615081806	0.51955452901557	0.63885523006758	0.6377300547186	0.68244557798952	0.6470900110883	0.69986738080715	0.65260815624445	0.61315139950732	0.8178004777917	0.72519310423506	0.74656883630519	0.5432656531843	0.63522144630047	0.66308616545746	0.59412067408415	0.51003820446657	0.57228148146854	0.66659182902866	0.57655503127723	0.66909356794357	0.63478288600871	0.60944845552223	0.73164049686037	0.73073444901157	0.63172040480167	0.59548911756835	0.76258524040812	0.58315114168988	0.69427109081999	0.58216883791383	0.66104459529141	0.66404011262543	0.65557427501986	0.59737803734946	0.62428871480706	0.68357796679987	0.60496018371668	0.66428237135673	0.73325706949273	0.66114214635494	0.5045489416986	0.64103274309538	0.61249916782114	0.66402140889585	0.66118933398453	0.63914440788735	0.56776127957947	0.61994419960205	0.61268397363742	0.66309985743253	0.69713010023871	0.7608999010314	0.62086530487788	0.62647603156623	0.74403175469439	0.57457130205935	0.5814091059405	0.68805905283837	0.62317434798118	0.79343924837267	0.66674614496023	0.36556524776363	0.5402888337199	0.51724509552296	0.62003068325956	0.7186109018161	0.57614173010037	0.69814606686905	0.46945419817168	0.57584444681708	0.71988709647917	0.64535529461447	0.79380396406151	0.74299791907578	0.64869871593617	0.66511367024948	0.76536086989244	0.71363803399108	0.61010775188513	0.58035106519925	0.61487868035855	0.37079147805113	0.56892103752886	0.60167636677995	0.66950360567923	0.64351275424795	0.61841350245346	0.66949672406331	0.59338945289311	0.62775249668888	0.50912567253715	0.68836328418286	0.66300615935366
18	0.7327777905928	0.72527466775043	0.60564513618174	0.52741926848401	0.64524298840442	0.64489097141892	0.6810665022687	0.64737097431129	0.70929450368365	0.66509125940925	0.61995995494781	0.82024491209961	0.72588549716472	0.75219687002523	0.54561309446024	0.63781569070579	0.66724996842786	0.60005051574822	0.51716984660295	0.56763958246735	0.66954106283205	0.58425241978612	0.6732071254381	0.64133577611107	0.6098023522882	0.7358967153986	0.73150468050034	0.63903872237269	0.60473172431891	0.76603238146766	0.59048534798061	0.69907660636491	0.58609454751941	0.66639932890623	0.66646923346811	0.66308306881627	0.59655730451441	0.62983338064974	0.68378583071819	0.61052249313314	0.6740833635869	0.73568448480714	0.66356780856039	0.50473023456608	0.64459616541593	0.61890355662612	0.67579059337111	0.66120896655576	0.63822040192168	0.5670906561284	0.62010347027903	0.6128015307778	0.6606746332272	0.69675970079004	0.76042415225131	0.62261063317101	0.62204056669107	0.75145094894604	0.57601790432112	0.5912842866082	0.68752451410636	0.63039009969672	0.79891987778583	0.66749441037697	0.36835967360451	0.54428907759249	0.52158901017734	0.62309570038471	0.72264758235837	0.58231614187974	0.70050551593136	0.48394859661644	0.57651621010214	0.72541931951161	0.64803944808382	0.80024865006965	0.74384117267296	0.65367863300176	0.6681868549706	0.76933450760603	0.71793298692619	0.61368018840496	0.58163103779921	0.62786805105539	0.37026344569808	0.57667389498045	0.61558903767723	0.67391489095255	0.64693588684582	0.62026019853408	0.67468211496676	0.60624631239049	0.63970643531187	0.51971628925551	0.69692460003858	0.66931850534596
21	0.73401328742022	0.72944336435796	0.60993295817358	0.53331807166268	0.65076066169293	0.65138617644009	0.67808693175254	0.64927099257166	0.70504962317421	0.67756078749316	0.62801600793432	0.83325560183605	0.72663179974092	0.75582933835724	0.55131219469562	0.64277613871348	0.67432155780466	0.59868407075859	0.5178140419434	0.57381878127698	0.67562838877632	0.59197519128579	0.67691387255528	0.64386382195567	0.61025151565086	0.74364676638407	0.73881347296572	0.64750945112176	0.60850507451089	0.7695460482738	0.5975668140124	0.70294537768865	0.59177645389364	0.66953877878409	0.66818709831667	0.67019836414227	0.59537066042698	0.63526265290343	0.68739765098333	0.61724899824287	0.68147724771642	0.73179076606813	0.6659725948985	0.50369491730636	0.64637672429013	0.62496145801655	0.68558861672628	0.67869644575631	0.63852575544115	0.56968550595721	0.62376787592019	0.61782245646545	0.66663446327817	0.69713879375554	0.76557561872277	0.62172047876024	0.62107892941539	0.76342017188975	0.58421292596991	0.6063364382206	0.68762354484141	0.62898746041362	0.80682612895177	0.67222887966586	0.36749078609657	0.55153774335213	0.53028402870798	0.62621584688149	0.73016584080631	0.58755327899654	0.70349516446311	0.49495299991656	0.57621346348308	0.72551439192567	0.6606676396529	0.81030987083077	0.75135362974837	0.65375900209304	0.67914436890781	0.76947850941229	0.72212818987943	0.61721820883111	0.58054625960691	0.63662875359337	0.36972080897917	0.57951932420862	0.62142469511614	0.67961397341534	0.66260049887561	0.62729693793183	0.68214578222349	0.62193592635998	0.64605506473194	0.53059190328162	0.71682585753943	0.68089134617317
24	0.73501519163809	0.73451215809689	0.61635379949118	0.53932405885145	0.65594493675033	0.65706234266364	0.68426395432673	0.66246329076799	0.71632333059049	0.69099677938486	0.65194282822503	0.84373037239399	0.72730352646664	0.75729463223088	0.55766791206663	0.64877396023985	0.67914276673401	0.59744181540107	0.52165948253127	0.57912846892613	0.68090048020715	0.59406978363839	0.68607223000609	0.6309915379431	0.61070186439064	0.74583335807756	0.74374947164003	0.65571977646681	0.60871979290811	0.77348764627587	0.599764905456	0.70323376571289	0.59781323190771	0.6729837883432	0.67065165937576	0.67767826426482	0.59539747176136	0.64280964319053	0.68756052892275	0.61943370492077	0.68797175383575	0.73373699200887	0.67002374989621	0.50546078721521	0.64978739439142	0.62941254591917	0.69183302598544	0.68971515047666	0.63905534935254	0.58016856889671	0.62951568064085	0.62529708689349	0.67623319232582	0.6991211058286	0.77114518568221	0.62069516984036	0.62614788257477	0.77093268312693	0.57874744031058	0.61846179089722	0.6850132292219	0.62624855747638	0.81343170525767	0.67940286114719	0.37174202589573	0.55756414330526	0.54111206188855	0.62854853541752	0.73349618877683	0.59346995611467	0.71153743898049	0.49872678892957	0.57565397851361	0.72556769920288	0.67078642692478	0.8133212575331	0.75747995614388	0.65466722010484	0.6826133208738	0.77279232269839	0.72976844729197	0.62287091487104	0.57931077000503	0.64527823811936	0.36917014876056	0.58208217592299	0.64383054620022	0.69016228349309	0.66576977747081	0.63906548824938	0.68384087186645	0.62702797427722	0.66727211870917	0.54482603248058	0.72632996413303	0.69834370733581
27	0.7358917837166	0.73927398871646	0.61908348685923	0.54423119497161	0.65933941260127	0.66183143531672	0.68841009430132	0.6705130481261	0.71671549664538	0.70579797830528	0.6668686179769	0.85240529494863	0.72797699075385	0.75928954951105	0.56196208810932	0.652603007059	0.68185916012801	0.59979094894905	0.51762706309938	0.58191517628534	0.68760623860791	0.58327380303447	0.69530658284161	0.64177051311672	0.6110802157485	0.74858442916654	0.74889714696714	0.66226146393088	0.60956311548816	0.77201523292459	0.60863044384277	0.70393077335291	0.60199090196928	0.67582765057678	0.68788255514486	0.69186919614752	0.59545378095183	0.64754941086911	0.68570579900489	0.62253480613639	0.69251402462828	0.73859647645966	0.67549200104657	0.51114036862265	0.65332077933863	0.63514559037795	0.6973383923792	0.7043839775899	0.63963090212297	0.59004863734133	0.63089680130193	0.63213257350308	0.68837888654446	0.70423777467126	0.77588636379976	0.62537850138422	0.63250820290391	0.77890024444237	0.58533731209159	0.63008875471887	0.68467961689862	0.63222448311204	0.81871756027171	0.6876661112212	0.38270837748255	0.57019160443973	0.55168795905825	0.63393096331113	0.7406380795104	0.59732472231367	0.72053831716154	0.51627095383443	0.57587930750674	0.72986744578082	0.67953335925656	0.81398879665528	0.75912269613957	0.65924047570809	0.67937009270869	0.77427110164398	0.72923295739594	0.62817586585437	0.58224385683042	0.65455169663139	0.36840951507867	0.58854051394205	0.65402217468147	0.69030478856415	0.6735757776435	0.63775774226287	0.69425517314517	0.63281769844198	0.67397193947913	0.56392917986938	0.73492344897025	0.70204377528075
