	EX_hdcea_e	EX_lipoate_e	EX_fe2_e	EX_lys__L_e	EX_nh4_e	EX_skm_e	EX_pi_e	EX_indole_e	EX_uri_e	EX_mn2_e	EX_val__L_e	EX_mobd_e	EX_arg__L_e	EX_duri_e	EX_for_e	EX_ca2_e	EX_ade_e	EX_h2o_e	EX_mg2_e	EX_ni2_e	EX_pro__L_e	EX_met__L_e	EX_zn2_e	EX_feenter_e	EX_pnto__R_e	EX_cobalt2_e	EX_ala__D_e	EX_thm_e	EX_gsn_e	EX_ile__L_e	EX_ptrc_e	EX_g3ps_e	EX_glyc3p_e	EX_leu__L_e	EX_his__L_e	EX_asn__L_e	EX_tyr__L_e	EX_nmn_e	EX_adocbl_e	EX_mmet_e	EX_h_e	EX_no3_e	EX_cu2_e	EX_phe__L_e	EX_succ_e	EX_akg_e	EX_ac_e	EX_cgly_e	EX_gam6p_e	EX_spmd_e	EX_thr__L_e	EX_so4_e	EX_btn_e	EX_adn_e	EX_cytd_e	EX_glyclt_e	EX_gthrd_e	EX_glyc_e	EX_alaala_e	EX_pydx_e	EX_dad_2_e	EX_colipa_e	EX_ocdcea_e	EX_LalaDgluMdap_e	EX_o2_e	EX_ala__L_e	EX_cl_e	EX_k_e	EX_co2_e	EX_hdca_e
0	0.0	0.0	84.83348320831188	0.0	468.12291407862637	0.0	-59.07311419270735	0.0	0.0	-0.04127180768077228	0.0	-0.008593066340829486	0.0	0.0	1000.0	-0.3106048505093986	492.9532789017236	-1000.0	-0.5176538431450055	-0.01925599537689527	0.0	0.0	-0.020322288280501852	0.0	0.0	-0.001505354687444582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.013987253970839239	0.0	1000.0	0.0	-0.042275377472401995	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-15.805157925264515	0.0	-511.15169988757975	0.0	0.055949015883350287	0.0	0.40230604021956445	0.2066726539637457	0.0	0.0	0.0	0.0	0.0	-1000.0	156.2776570872535	-0.3106048505093987	-11.647054662982681	1000.0	0.0
1	0.0	0.0	135.69944034253047	0.0	459.1647872921564	0.0	-73.29157854629392	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	126.64421332787485	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.04590795402312	0.0	-142.81699358635342	0.0	0.04972140936090897	0.0	0.0	0.18366821058764368	0.0	0.0	0.0	0.0	0.0	-922.3295825772616	437.3277826515105	-0.2760318600394572	-10.350637336576494	1000.0	0.0
2	0.0	0.0	134.90398710997346	0.0	368.3438543695488	0.0	-73.35892114260123	0.0	-10.80372100400147	-0.04145654937181128	0.0	-0.008528690812872783	0.0	0.0	1000.0	-0.31202732561923974	197.2261949000626	-1000.0	-0.5200269622019613	-0.019346361903675863	0.0	0.0	-0.020418447235270733	0.0	0.0	-0.0015106846512264553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.04247289321309123	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-15.790080168025597	0.0	-215.46698208276558	0.0	0.05434791588787201	0.0	0.0	0.18366821058764368	0.0	0.0	0.0	0.0	0.0	-897.0709481899478	636.1066442063938	-0.3120273256192398	-11.70050533137275	1000.0	0.0
3	0.0	0.0	55.214171827296596	0.0	441.7684843074564	0.0	-61.07032131607735	0.0	-1.0698092679350165e-12	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	442.91711903107876	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	20.59869727429308	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-837.7832826221762	0.0	0.04972140936090897	0.0	0.0	0.18366821058764368	0.0	0.0	0.0	0.0	0.0	-1000.0	667.2133808346849	-0.2760318600394572	-10.350637336576494	1000.0	0.0
4	0.0	0.0	96.71748493904592	0.0	544.0618897037092	0.0	-64.94816730159312	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	403.79323041769624	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-841.278688493721	0.0	0.04972140936090382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1000.0	228.0996246075175	-0.2760318600394572	-10.350637336576494	1000.0	0.0
5	0.0	0.0	41.57108238162277	0.0	925.5970354127838	0.0	-51.68049977951031	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	598.6025575780695	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	37.56423786183324	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.037569764472252444	0.0	90.82500727318964	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-695.0796594960724	0.0	0.049721409360898236	0.0	0.0	0.18366821058764368	0.0	0.0	0.0	0.0	0.0	-1000.0	683.686050311058	-0.2760318600394572	-10.350637336576494	1000.0	0.0
6	0.0	0.0	62.811636883088966	0.0	710.8433469794999	0.0	-51.68049977951031	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	292.9586469852358	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-384.257015153345	0.0	0.049721409360898236	0.0	0.3575259188798456	0.0	0.0	0.0	0.0	0.0	0.0	-969.7900672640991	313.4532298563184	-0.2760318600394572	-10.350637336576494	1000.0	0.0
7	0.0	0.0	27.200871737644476	0.0	1000.0000000000001	0.0	-58.24164245947064	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	410.402920394739	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-529.6607018999273	0.0	0.04972140936090185	0.0	0.35752591887986235	0.0	0.0	0.0	0.0	0.0	36.74360236842114	-1000.0	537.2060121149758	-0.2760318600394572	-10.350637336576494	1000.0	0.0
8	0.0	0.0	32.81222483867039	0.0	1000.0000000000001	0.0	-56.75385416550789	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	478.6178544951734	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.38784665502152	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-665.3388494701808	0.0	0.049721409360902045	0.0	0.35752591887986235	0.0	0.0	0.0	0.0	0.0	0.0	-1000.0	490.0745630915334	-0.2760318600394572	-10.350637336576494	1000.0	0.0
9	0.0	0.0	0.0	0.0	1000.0000000000001	0.0	-63.097737446144215	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	465.6438232664618	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.39001534771734	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	559.2104911547829	0.0	-0.037569764472252444	0.0	9.870621096780472	0.0	501.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-1000.0	0.0	0.04972140936090049	0.0	0.35752591887986235	0.10869590611720026	0.0	0.0	0.0	0.0	0.0	-1000.0	491.6809961497426	-0.2760318600394572	-10.350637336576494	1000.0	0.0
