	EX_hdcea_e	EX_lipoate_e	EX_fe2_e	EX_lys__L_e	EX_nh4_e	EX_skm_e	EX_xtsn_e	EX_etha_e	EX_pyr_e	EX_mn2_e	EX_gua_e	EX_mal__L_e	EX_mobd_e	EX_arg__L_e	EX_for_e	EX_h2o_e	EX_ca2_e	EX_ade_e	EX_mg2_e	EX_ni2_e	EX_pro__L_e	EX_tyr__L_e	EX_zn2_e	EX_feenter_e	EX_pnto__R_e	EX_cobalt2_e	EX_thm_e	EX_ptrc_e	EX_leu__L_e	EX_g6p_e	EX_cu_e	EX_his__L_e	EX_asn__L_e	EX_ser__L_e	EX_metsox_R__L_e	EX_adocbl_e	EX_mmet_e	EX_h_e	EX_nmn_e	EX_cu2_e	EX_phe__L_e	EX_succ_e	EX_akg_e	EX_ac_e	EX_gam6p_e	EX_spmd_e	EX_amp_e	EX_thr__L_e	EX_thymd_e	EX_cys__L_e	EX_ump_e	EX_so4_e	EX_cit_e	EX_btn_e	EX_trp__L_e	EX_damp_e	EX_cytd_e	EX_glyclt_e	EX_gthrd_e	EX_hxan_e	EX_no2_e	EX_glyc_e	EX_alaala_e	EX_pydx_e	EX_dad_2_e	EX_colipa_e	EX_ocdcea_e	EX_LalaDgluMdap_e	EX_o2_e	EX_xan_e	EX_ala__L_e	EX_cl_e	EX_k_e	EX_co2_e	EX_hdca_e
0	0.0	0.0	0.0	0.0	-375.0663159865423	0.0	0.0	0.0	0.0	-0.023492601916461492	0.0	0.0	-0.004891316812393958	0.0	995.9943328580304	1000.0	-0.17680146609470715	0.0	-0.29465720914370325	-0.010960834024853613	0.0	0.0	-0.011567785746099584	0.0	0.0	-0.0008568730182295989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007961778461050022	0.0	1000.0	0.0	-0.024063850595281235	0.0	0.0	0.0	715.1223933298435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.99655973968955	0.0	0.0	0.0	0.0	0.0	0.031847113844200484	0.0	0.0	0.0	0.22899931412186023	0.0	0.0	0.0	0.0	0.0	0.0	-676.4182903139464	0.0	0.0	-0.17680146609470718	-6.629697948127256	1000.0	0.0
1	0.0	0.0	0.0	0.0	-400.11790900825446	0.0	0.0	0.0	0.0	-0.023264327062797817	0.0	0.0	-0.004843788461403193	0.0	968.6477243667932	1000.0	-0.17508350701363948	0.0	-0.2917940596493471	-0.0108543288879619	0.0	0.0	-0.011455382930617772	0.0	0.0	-0.0008485468837494648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007884414794838776	0.0	1000.0	0.0	-0.023830024985297467	0.0	0.0	0.0	786.5564730124889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.909141225326788	0.0	0.0	0.0	0.0	0.0	0.031537659179343494	0.0	0.0	0.0	0.22677415468204443	0.0	0.0	0.0	0.0	0.0	0.0	-644.3026876133684	0.0	0.0	-0.17508350701363953	-6.565277951809919	1000.0	0.0
2	0.0	0.0	0.0	0.0	-375.76971511671655	0.0	0.0	0.0	0.0	-0.023593576296353426	0.0	0.0	-0.004853892153870345	0.0	992.8107169646241	1000.0	-0.17757964888683775	0.0	-0.2959555051491209	-0.011010316549858373	0.0	0.0	-0.011620456436417298	0.0	0.0	-0.0008597555595420446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.02417198719608611	0.0	0.0	0.0	723.3193698335566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.986450217572497	0.0	0.0	0.0	0.0	0.0	0.03093169052306045	0.0	0.0	0.0	0.2035097215035413	0.0	0.0	0.0	0.0	0.0	0.0	-674.1621234208076	0.0	0.0	-0.17757964888683783	-6.658941160560811	1000.0	0.0
3	0.0	0.0	0.0	0.0	-345.6182700334033	0.0	0.0	0.0	62.59200218729351	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	1.3335653501667433	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337120889785	0.0	0.0	0.0	664.4992276778742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256248986263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-542.8058999465559	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
4	0.0	0.0	0.0	0.0	-347.1129813619878	0.0	0.0	0.0	40.556250064671495	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	1.8899082496947042	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337120889785	0.0	0.0	0.0	677.093899569044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256248986263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-542.4675380185197	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
5	0.0	0.0	14.44716203399905	0.0	-507.198220226401	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337120889785	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256248986263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-550.8867035214457	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
6	0.0	0.0	0.0	0.0	-352.22341378476006	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337120889785	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256248918824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-678.094274458152	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
7	0.0	0.0	0.0	0.0	-559.4443024956726	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337120889785	0.0	0.0	0.0	970.3481188559516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256249011403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-563.9612843761901	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
8	0.0	0.0	0.0	0.0	-431.78390642541063	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	893.3426403916995	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337120889785	0.0	0.0	0.0	1000.0	0.0	2.13193885568451	0.0	0.0	0.0	0.0	0.0	-10.127104143122606	0.0	0.0	0.0	0.0	0.0	0.028302256248976868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-631.588627602826	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
9	0.0	0.0	0.0	0.0	-490.52929775012234	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337121131637	0.0	0.0	86.70101370372409	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256249011486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.303290940170456	-580.9833956218588	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
