	EX_hdcea_e	EX_lipoate_e	EX_fe2_e	EX_lys__L_e	EX_nh4_e	EX_skm_e	EX_xtsn_e	EX_etha_e	EX_pyr_e	EX_mn2_e	EX_gua_e	EX_mal__L_e	EX_mobd_e	EX_arg__L_e	EX_for_e	EX_h2o_e	EX_ca2_e	EX_ade_e	EX_mg2_e	EX_ni2_e	EX_pro__L_e	EX_tyr__L_e	EX_zn2_e	EX_feenter_e	EX_pnto__R_e	EX_cobalt2_e	EX_thm_e	EX_ptrc_e	EX_leu__L_e	EX_g6p_e	EX_cu_e	EX_his__L_e	EX_asn__L_e	EX_ser__L_e	EX_metsox_R__L_e	EX_adocbl_e	EX_mmet_e	EX_h_e	EX_nmn_e	EX_cu2_e	EX_phe__L_e	EX_succ_e	EX_akg_e	EX_ac_e	EX_gam6p_e	EX_spmd_e	EX_amp_e	EX_thr__L_e	EX_thymd_e	EX_cys__L_e	EX_ump_e	EX_so4_e	EX_cit_e	EX_btn_e	EX_trp__L_e	EX_damp_e	EX_cytd_e	EX_glyclt_e	EX_gthrd_e	EX_hxan_e	EX_no2_e	EX_glyc_e	EX_alaala_e	EX_pydx_e	EX_dad_2_e	EX_colipa_e	EX_ocdcea_e	EX_LalaDgluMdap_e	EX_o2_e	EX_xan_e	EX_ala__L_e	EX_cl_e	EX_k_e	EX_co2_e	EX_hdca_e
0	0.0	0.0	0.0	0.0	-239.53885264238392	0.0	0.0	0.0	0.0	-0.013087665372698926	0.0	0.0	-0.0027249394468993205	0.0	992.5151005915252	1000.0	-0.0984956214674849	0.0	-0.1641527390894897	-0.006106251169329133	0.0	0.0	-0.0064443823415721154	0.0	0.0	-0.0004773616549312679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.004435485377069697	0.0	1000.0	0.0	-0.01340590647598644	0.0	0.0	0.0	738.927608467727	0.0	5.253353012084194	0.0	0.0	0.0	0.0	0.0	-10.265312257690308	0.0	0.0	0.0	0.0	0.0	0.017741941508276012	0.0	0.0	0.0	0.12757490228038132	0.0	0.0	0.0	0.0	0.0	0.0	-707.0905309183476	0.0	0.0	-0.09849562146748493	-3.69338690434113	1000.0	0.0
1	0.0	0.0	0.0	0.0	-188.1464165934397	0.0	0.0	0.0	0.0	-0.005416717849192317	9.16901798359803	0.0	-0.0011277968774153762	0.0	987.2731862407624	1000.0	-0.04076532946686819	0.0	-0.06793947174678175	-0.0025272528566900325	0.0	0.0	-0.0026671984546174942	0.0	0.0	-0.0001975702558975922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0018357569610483865	0.0	1000.0	0.0	-0.005548431353124048	0.0	0.0	0.0	750.109058376652	0.0	12.59431828707848	0.0	0.0	0.0	0.0	0.0	-14.668666028404584	0.0	0.0	0.0	0.0	0.0	0.0073430278441940135	0.0	0.0	0.0	0.05280065088862937	0.0	0.0	0.0	9.019437162819514	0.0	0.0	-704.6290542470019	0.0	0.0	-0.04076532946686821	-1.5286175340676	1000.0	0.0
2	0.0	0.0	0.0	0.0	-162.1357685156255	0.0	0.0	0.0	0.0	-2.609709166458731e-05	0.0	0.0	-5.433588993994623e-06	0.0	866.2090063262209	1000.0	-0.0001964024284544625	0.0	-0.00032732416034625996	-1.2175998694571892e-05	0.0	0.0	-1.2850239664629617e-05	0.0	0.0	-9.518696047873793e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.844455077816065e-06	0.0	1000.0	0.0	-2.6731671401112236e-05	0.0	0.0	0.0	529.7711546346262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.009993956609353764	0.0	0.0	0.0	0.0	0.0	2.0074433250209172e-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-820.1487472082197	0.0	0.0	-0.00019640242845446254	-0.0073646944547070175	1000.0	0.0
3	0.0	0.0	0.0	0.0	-302.2695681061854	0.0	0.0	0.0	0.0	-0.013565935308594235	6.388907447235152	0.0	-0.0025325696885798213	0.0	945.0956772359579	1000.0	-0.10218624208572068	0.0	-0.1703104034762012	-0.006341240383033198	0.0	0.0	-0.006694622200044333	0.0	0.0	-0.000490808079182136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.844455077816065e-06	0.0	1000.0	0.0	-0.013919317125605377	0.0	0.0	0.0	926.6076023483758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.951468226021252	0.0	0.0	0.0	0.0	0.0	0.013134024198917101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-609.3709505565906	0.0	0.0	-0.10218624208572072	-3.832092055991947	1000.0	0.0
4	0.0	0.0	0.0	0.0	-524.999505131715	0.0	6.3653065159498246	0.0	0.0	-0.0029712008432345237	0.0	0.0	-0.0005546814888238112	0.0	918.7412163896571	1000.0	-0.022380753095565403	0.0	-0.03730125515927568	-0.0013888536503107833	0.0	0.0	-0.0014662510673559663	0.0	0.0	-0.00010749641256275413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.844455077816065e-06	0.0	1000.0	0.0	-0.0030485982602797067	0.0	0.0	0.0	504.9193564118666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.084466808498066	0.0	0.0	0.0	0.0	0.0	0.0028766040001793327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-541.2132007107261	0.0	0.0	-0.02238075309556541	-0.8393018902944666	1000.0	0.0
5	0.0	0.0	0.0	0.0	-590.8417436980038	0.0	0.0	0.0	0.0	-2.609709166458731e-05	0.0	0.0	-5.433588993994623e-06	0.0	944.4289428598076	1000.0	-0.0001964024284544625	0.0	-0.00032732416034625996	-1.2175998694571892e-05	2.409981311187479e-13	1.505798143990877e-13	-1.2850239664629617e-05	0.0	0.0	-9.518696047873793e-07	0.0	0.0	4.91176987677549e-13	0.0	0.0	1.0328506908202906e-13	0.0	0.0	0.0	-8.844455077816065e-06	0.0	1000.0	0.0	-2.6731671401112236e-05	2.0197923033505158e-13	0.0	0.0	493.72635126801094	0.0	1.6828495406735334e-13	0.0	0.0	0.0	0.0	0.0	-0.009993956609353764	0.0	0.0	0.0	0.0	0.0	99.78720978278842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-526.9362330510518	0.0	0.0	-0.00019640242845446254	-0.0073646944547070175	1000.0	0.0
6	0.0	0.0	0.0	0.0	-266.639901666673	0.0	0.0	0.0	0.0	-2.609709166458731e-05	0.0	0.0	-5.433588993994623e-06	0.0	676.0075067776576	1000.0	-0.0001964024284544625	0.0	-0.00032732416034625996	-1.2175998694571892e-05	0.0	1.4192047726029e-13	-1.2850239664629617e-05	0.0	0.0	-9.518696047873793e-07	0.0	0.0	0.0	0.0	0.0	0.0	9.6843956345791e-15	0.0	0.0	-8.844455077816065e-06	0.0	1000.0	0.0	-2.6731671401112236e-05	0.0	0.0	0.0	287.5757995713158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.009993956609353764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.592077446965381	0.0	0.0	-841.1219968871434	0.0	0.0	-0.00019640242845446254	-0.0073646944547070175	1000.0	0.0
7	0.0	0.0	0.0	0.0	-641.0299958917277	0.0	0.0	0.0	0.0	-2.609709166458731e-05	0.0	0.0	-5.433588993994623e-06	0.0	822.8986758062172	1000.0	-0.0001964024284544625	0.0	-0.00032732416034625996	-1.2175998694571892e-05	0.0	0.0	-1.2850239664629617e-05	0.0	0.0	-9.518696047873793e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.844455077816065e-06	0.0	1000.0	0.0	-2.6731671401112236e-05	0.0	0.0	0.0	517.6744409741367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.009993956609353764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-565.3571549243828	0.0	0.0	-0.00019640242845446254	-0.0073646944547070175	1000.0	0.0
8	0.0	0.0	0.0	0.0	-364.3061357702494	0.0	0.0	0.0	0.0	-2.609709166458731e-05	0.0	0.0	-5.433588993994623e-06	0.0	1000.0	768.0846388163811	-0.0001964024284544625	0.0	-0.00032732416034625996	-1.2175998694571892e-05	0.0	0.0	-1.2850239664629617e-05	0.0	0.0	-9.518696047873793e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.844455077816065e-06	0.0	1000.0	0.0	-2.6731671401112236e-05	0.0	0.0	2.19565811196835e-13	1000.0	0.0	2.557265790643167e-13	0.0	0.0	0.0	0.0	0.0	-0.009993956609353764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-633.5423194081887	0.0	0.0	-0.00019640242845446254	-0.0073646944547070175	1000.0	0.0
9	0.0	0.0	0.0	0.0	-417.20031062908623	0.0	0.0	0.0	0.0	-2.609709166458731e-05	0.0	0.0	-5.433588993994623e-06	0.0	1000.0	862.948750346177	-0.0001964024284544625	0.0	-0.00032732416034625996	-1.2175998694571892e-05	0.0	0.0	-1.2850239664629617e-05	0.0	0.0	-9.518696047873793e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.844455077816065e-06	0.0	1000.0	0.0	-2.6731671401112236e-05	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.009993956609353764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7227706584771854	0.0	96.08053350339328	-739.0002589031355	0.0	0.0	-0.00019640242845446254	-0.0073646944547070175	1000.0	0.0
