	EX_mn2_e	EX_ca2_e	EX_adocbl_e	EX_h2o_e	EX_co2_e	EX_h_e	EX_zn2_e	EX_so4_e	EX_cu2_e	EX_mg2_e	EX_glyclt_e	EX_cl_e	EX_o2_e	EX_k_e	EX_for_e	EX_glyc_e	EX_nh4_e	EX_mobd_e	EX_cobalt2_e	EX_ni2_e	EX_ac_e
0	-0.06959233215446786	-0.5237404693448706	-0.02358524326815552	-390.1810508785911	1000.0	1000.0	-0.034267348963598156	-0.4363798821722408	0.0	-0.8728655277672086	0.10470578849988325	-0.5237404693448706	-1000.0	-19.639209966205375	1000.0	0.6783665933719709	1000.0	-0.01448958891362021	-0.0025383221454517153	-0.03246937077723652	1000.0
1	-0.0448887400723336	-0.3378252900276535	-0.015213053246398775	-1000.0	1000.0	1000.0	-0.02210327018759284	0.0	-0.04598025958777029	-0.5630194100561843	0.06085221298558779	-0.3378252900276535	-1000.0	-12.667766176339859	1000.0	0.4375628857506805	1000.0	-0.009346135850926602	-0.001637279273155025	-0.02094353070244136	1000.0
2	-0.04859215394508898	-0.36569657497884595	-0.0164681615953721	-1000.0	1000.0	1000.0	-0.023926835681168438	0.0	-0.049773726077492364	-0.6094696755453182	0.06587264638148049	-0.36569657497884595	-1000.0	-13.712883079123971	1000.0	0.4736627285772048	1000.0	-0.010117211383703938	-0.0017723581986050694	-0.022671415290489844	1000.0
3	-0.05021785990798443	-0.3781761559625116	-0.004684389262541501	-1000.0	1000.0	1000.0	-0.024766878655663557	0.0	-0.051502040181791595	-0.630286591194227	0.053974552526389025	-0.3781761559625116	-1000.0	-14.18168547758857	1000.0	0.13473395843022953	1000.0	-0.009672431096201363	-0.0018209281222910435	-0.023461692151979525	1000.0
4	-0.04490468993821205	-0.33794532610034356	-0.015218458748056668	-1000.0	1000.0	1000.0	-0.02211112392094332	0.0	-0.045996597292332714	-0.5632194620973618	0.06087383499222667	-0.33794532610034356	-1000.0	-12.672267286666559	1000.0	0.4377183605831187	1000.0	-0.009349456719658134	-0.0016378610311809868	-0.02095097235719012	1000.0
5	-0.014317954439168251	-0.10775457504978904	-0.004852437446708997	-1000.0	1000.0	1000.0	-0.007050178173693791	0.0	0.0	-0.17958370514658906	0.01940974978683598	-0.10775457504978904	-1000.0	-4.040578966275309	1000.0	520.338386200767	1000.0	-0.0029810938573952145	-0.0005222354202736141	-0.006680261417666647	1000.0
6	-0.029304150800022324	-0.22053822912114066	-0.009931345939825195	-1000.0	1000.0	1000.0	-0.014429399482077863	0.0	0.0	-0.36754887014070553	0.03972538375930091	-0.22053822912114066	-1000.0	-8.269738240206907	1000.0	404.9422637061059	1000.0	-0.006101320151372431	-0.0010688444060798416	-0.01367230136110464	1000.0
7	-0.021552989952054336	-0.16220426480634206	-0.007304432764905953	-1000.0	1000.0	1000.0	-0.010612718456634659	0.0	0.0	-0.27032952290927725	0.02921773105962391	-0.16220426480634206	-1000.0	-6.082332377199043	1000.0	294.23060588416917	1000.0	-0.004487476631354779	-0.0007861272930840489	-0.010055878290700124	1000.0
8	-0.021201562667045808	-0.15955948074044202	-0.007185332028497288	-1000.0	1000.0	1000.0	-0.010439675234229244	0.0	0.0	-0.26592172749411713	0.028741328113989276	-0.15955948074044202	-1000.0	-5.983158315567988	1000.0	315.79211807031993	1000.0	-0.004414307120646317	-0.0007733092766095736	-0.009891914496630795	1000.0
9	-0.02108115381947545	-0.15865330351678184	-0.0071445247746854505	-1000.0	1000.0	1000.0	-0.010380385771291866	0.0	0.0	-0.26441149311874	0.028578099098741927	-0.15865330351678184	-1000.0	-5.949178499602427	1000.0	299.1020591475833	1000.0	-0.004389237193416623	-0.0007689174645401382	-0.009835735900575933	1000.0
10	-0.017080887287156517	-0.12854795417325088	-0.005788811345039367	-1000.0	1000.0	1000.0	-0.008410649667232085	0.0	0.0	-0.21423793735699506	0.02315524538015757	-0.12854795417325088	-1000.0	-4.8202886935442155	1000.0	323.0266347209322	1000.0	-0.0035563549518851725	-0.000623011086461636	-0.007969350147655093	1000.0
11	-0.011332623055607234	-0.08528746105070976	-0.0038406914003045797	-1000.0	1000.0	1000.0	-0.005580197370846116	0.0	0.0	-0.14214002747405244	0.015362765601218386	-0.08528746105070976	-1000.0	-3.198107561087701	1000.0	361.5365133266328	1000.0	-0.0023595279006355494	-0.00041334795339600857	-0.005287409237190609	1000.0
12	-0.016235047465217953	-0.12218230250419347	-0.005502151344595143	-1000.0	1000.0	1000.0	-0.007994157110532854	0.0	0.0	-0.20362894639885074	0.022008605378380668	-0.12218230250419347	-1000.0	-4.581589610663103	1000.0	260.969156074868	1000.0	-0.0033802454448858058	-0.0005921597859653965	-0.00757471059547403	1000.0
13	-0.01951206579619226	-0.146844604593836	-0.006612751781992211	-1000.0	1000.0	1000.0	-0.009607764920921419	-5.127981431766921	0.0	-0.24473112312458167	0.026451007127967312	-0.146844604593836	-1000.0	-5.5063761363145005	1000.0	503.93738767232793	1000.0	-0.004062542574587143	-0.0007116862904386236	-0.009103653798527393	1000.0
14	-0.016242794627859804	-0.12224060637866528	-0.005504776902754919	-1000.0	1000.0	1000.0	-0.007997971822836744	-4.268781692398915	0.0	-0.20372611559836928	0.022019107611018402	-0.12224060637866528	-1000.0	-4.583775888217762	1000.0	531.587574280351	1000.0	-0.0033818584559525745	-0.0005924423572471662	-0.0075783251531200005	1000.0
15	-0.01288215631778756	-0.09694899405119149	-0.004365837171529828	-1000.0	1000.0	1000.0	-0.006343189433074727	-4.928775655970046	0.0	-0.16157513083693123	0.017463348686119387	-0.09694899405119149	-1000.0	-3.635391499468043	1000.0	336.6323390485346	1000.0	-0.0026821510874420916	-0.00046986588393146126	-0.006010367765289942	1000.0
16	-0.012878757596417462	-0.09692341583200498	-0.004364685325229626	-1000.0	1000.0	1000.0	-0.006341515898539906	-4.9274752886451125	0.0	-0.1615325021933637	0.01745874130091858	-0.09692341583200498	-1000.0	-3.634432367900849	1000.0	108.6014849784098	1000.0	-0.002681443450925825	-0.0004697419184103634	-0.006008782039665898	1000.0
17	-0.006262252556796461	-0.04712868489552595	-0.0021223135564826913	-1000.0	1000.0	1000.0	-0.0030835407726474977	-0.03926755934550487	0.0	-0.07854463579215987	0.008489254225929745	-0.04712868489552595	-1000.0	-1.7672305125707217	1000.0	83.35931334224202	1000.0	-0.001303842857570084	-0.00022841042760351834	-0.0029217500530950053	1000.0
18	-0.008615342032007476	-0.06483765006459122	-0.00291978916890223	-1000.0	1000.0	1000.0	-0.00424220489114046	-0.05402264623717759	0.0	-0.10805838569932782	0.011679156675607517	-0.06483765006459122	-1000.0	-2.4312809451724444	1000.0	135.15647062791305	1000.0	-0.0017937718212538366	-0.00031423739934373775	-0.004019620066605312	1000.0
19	-0.008615342032008897	-0.06483765006460192	-0.0029197891689027116	-1000.0	1000.0	1000.0	-0.00424220489114116	-0.0540226462371865	0.0	-0.10805838569934564	0.011679156675609445	-0.06483765006460192	-1000.0	-2.4312809451728454	1000.0	135.15647062793263	1000.0	-0.0017937718212541326	-0.0003142373993437896	-0.004019620066605975	1000.0
20	-0.003317665071267982	-0.024968202785591257	-0.001124375852420608	-1000.0	1000.0	1000.0	-0.0016336223147276996	-0.02080347429187188	0.0	-0.04161199062792501	0.004497503409681892	-0.024968202785591257	-1000.0	-0.9362571840178596	1000.0	102.70029953316694	1000.0	-0.0006907600528323916	-0.00012100906035019997	-0.0015479075636463076	2.0
21	-6.959356135174354e-05	-0.0005237497200818146	0.0	-1000.0	1000.0	1000.0	-3.426795422183117e-05	0.0	2.49007097765359e-16	-0.0008728809450394216	0.0	-0.0005237497200818262	-1000.0	-0.019639556850159966	1000.0	119.94721944975812	1000.0	-1.4489844840712562e-05	-2.538366979394958e-06	-3.246994427809311e-05	1000.0
22	-6.959356135174354e-05	-0.0005237497200818146	0.0	-1000.0	1000.0	1000.0	-3.426795422183117e-05	0.0	0.0	-0.0008728809450394216	0.0	-0.0005237497200818262	-1000.0	-0.019639556850159966	1000.0	17.685303255011263	1000.0	-1.4489844840712562e-05	-2.538366979394958e-06	-3.246994427809311e-05	1000.0
23	-6.959356135174354e-05	-0.0005237497200818146	0.0	-1000.0	1000.0	1000.0	-3.426795422183117e-05	0.0	0.0	-0.0008728809450394216	0.0	-0.0005237497200818262	-1000.0	-0.019639556850159966	1000.0	-5.368407781025659e-13	1000.0	-1.4489844840712562e-05	-2.538366979394958e-06	-3.246994427809311e-05	1000.0
24	-6.959356135174354e-05	-0.0005237497200818146	0.0	-1000.0	1000.0	1000.0	-3.426795422183117e-05	0.0	0.0	-0.0008728809450394216	0.0	-0.0005237497200818262	-1000.0	-0.019639556850159966	1000.0	0.0	1000.0	-1.4489844840712562e-05	-2.538366979394958e-06	-3.246994427809311e-05	1000.0
25	-6.959356135174354e-05	-0.0005237497200818146	0.0	-1000.0	1000.0	1000.0	-3.426795422183117e-05	0.0	0.0	-0.0008728809450394216	0.0	-0.0005237497200818262	-1000.0	-0.019639556850159966	1000.0	0.0	1000.0	-1.4489844840712562e-05	-2.538366979394958e-06	-3.246994427809311e-05	1000.0
26	-0.002049112589334345	-0.015421285018820176	-0.0006944560903063206	-1000.0	1000.0	1000.0	-0.0010089855303105286	0.0	0.0	-0.025701103647076517	0.0027778243612249483	-0.015421285018820176	-1000.0	-0.5782670466770433	1000.0	0.0	1000.0	-0.00042663894337204445	-7.4739668911891e-05	-0.000956044931497939	1000.0
27	-6.959356135174354e-05	-0.0005237497200818146	0.0	-1000.0	1000.0	1000.0	-3.426795422183117e-05	0.0	0.0	-0.0008728809450394216	-1.5543018376028786e-13	-0.0005237497200818262	-1000.0	-0.019639556850159966	1000.0	0.0	1000.0	-1.4489844840712562e-05	-2.538366979394958e-06	-3.246994427809311e-05	1000.0
