gene	5FU_24	5FU_24	5FU_24	5FU_24	5FU_24	5FU_24
ENSRNOG00000000001	4	8	2	9	14	2
ENSRNOG00000000007	0	1	0	0	0	2
ENSRNOG00000000008	13.9631	11.9287	7.84411	7.02202	16.8751	20.3105
ENSRNOG00000000009	2	0	0	1	2	4
ENSRNOG00000000010	0	0	2	0	2	1
ENSRNOG00000000012	6.42561	8.88261	8.3249	13.7532	6.03143	12.4872
ENSRNOG00000000017	29	35	27	21	13	22
ENSRNOG00000000021	361.657	384.285	393.657	365.842	394.329	373.923
ENSRNOG00000000024	328	475	418	396	401	420
ENSRNOG00000000033	635	637	627	689	675	714
ENSRNOG00000000034	155	157	156	162	155	166
ENSRNOG00000000035	0	1	0	0	0	0
ENSRNOG00000000036	136	149	168	183	175	200
ENSRNOG00000000040	490.0002	585.000524	564.00005	581.00077	586.0004	558.0003
ENSRNOG00000000041	76.2505	48.1275	43.1621	77.0889	86	61.2438
ENSRNOG00000000042	1199.0014	1373.9997	1133.9951	1416.9989	1339.00444	1345
ENSRNOG00000000043	980.75	992.872	874.838	1124.91	1032	981.756
ENSRNOG00000000044	537	605	533	597	561	614
ENSRNOG00000000047	846	1088	1004	919	972	966
ENSRNOG00000000048	745	809	788	840	760	835
ENSRNOG00000000053	144.502	185.922	183.456	178.589	178.676	187.255
ENSRNOG00000000054	1284	1457	1375	1376	1424	1498
ENSRNOG00000000055	0	0	0	1	0	0
ENSRNOG00000000060	100	173	129	125	116	112
ENSRNOG00000000062	561	638	623	611	645	639
ENSRNOG00000000064	4500	5773	5334	5447	5371	5917
ENSRNOG00000000065	2	0	0	0	0	0
ENSRNOG00000000066	490	714	581	639	648	600
ENSRNOG00000000068	3494	3884	3650	3851	4186	4464
ENSRNOG00000000070	1048.46	1236.16	1180.12	1229.43	1176.94	1227.38
ENSRNOG00000000073	337	389	310	357	327	357
ENSRNOG00000000075	372	470	434	428	442	422
ENSRNOG00000000081	1027	1211	999	1141	1121	1163
ENSRNOG00000000082	1496.213	1925.587	1613.913	1672.399	1827.745	1865.499
ENSRNOG00000000091	209.675	229.523	226.806	257.07	234.194	236.22
ENSRNOG00000000095	623	775	691	780	767	724
ENSRNOG00000000096	139	172	161	175	178	161
ENSRNOG00000000097	13	12	7	16	12	15
ENSRNOG00000000098	1385	1704	1523	1495	1506	1586
ENSRNOG00000000104	756	1009	980	865	913	983
ENSRNOG00000000105	267	293	264	308	320	326.00033
ENSRNOG00000000108	571	622	612	601	613	559
ENSRNOG00000000109	0	0	0	0	0	0
ENSRNOG00000000111	246	254	270	196	251	238
ENSRNOG00000000112	708.587	836.241	836.308	820.806	839.763	847.779
ENSRNOG00000000113	192.439	229.208	219.132	241.695	267.689	215.356
ENSRNOG00000000121	428.4413	480.7412	476.93048	513.6508	437.3437	544.347
ENSRNOG00000000122	1415	1700	1498	1583.47	1509	1580
ENSRNOG00000000123	1236.00219	1418	1340.00339	1386	1401.0012	1492
ENSRNOG00000000124	0	0	0	0	0	0
ENSRNOG00000000127	2293.001	2849	2606.004	2549.998	2366.998	2560.995
ENSRNOG00000000129	14	29	16	24	17	15
ENSRNOG00000000130	525.0001	755.0003	594.9999	623.0004	561	625
ENSRNOG00000000133	1201	1562	1344	1327	1375	1374
ENSRNOG00000000137	1	4	4	5	3	1
ENSRNOG00000000138	10	11	8	10	7	10
ENSRNOG00000000142	128	155	157	192	140	201
ENSRNOG00000000145	478	575	519	531	540	561
ENSRNOG00000000150	226	334	265	269	253	288
ENSRNOG00000000151	305	303	286	336	301	315
ENSRNOG00000000155	358	410	365	407	430	407
ENSRNOG00000000156	39.00006235	38.99996142648	34.9999536	45.0000475	39.0000332	38.00004166
ENSRNOG00000000157	781	1013	1015	904	894	903
ENSRNOG00000000158	23	31	37	39	22	37
ENSRNOG00000000161	261	295.000000021884	302	254	325	323
ENSRNOG00000000164	3380	4016	3569	3936	3849	3861
ENSRNOG00000000165	4	8	18	9	9	5
ENSRNOG00000000166	79	113	110	104	116	132
ENSRNOG00000000167	8	12	5	7	4	7
ENSRNOG00000000168	402	509	487	432	388	465
ENSRNOG00000000169	270.986	288.233	259.175	244.091	261.433	272.162
ENSRNOG00000000170	1137	1316	1198	1273	1284	1464
ENSRNOG00000000172	188	240	222	193	192	205
ENSRNOG00000000175	642	610	663	694	695	605
ENSRNOG00000000177	110	118	124	110	120	117
ENSRNOG00000000184	28	23	19	25	27	29
ENSRNOG00000000185	1193	1301	1212	1207	1270	1263
ENSRNOG00000000186	521	638	552	590	611	645
ENSRNOG00000000187	45	53	40	57	42	44
ENSRNOG00000000190	685	591	635	732	575	630
ENSRNOG00000000195	361.021	586.406	442.294	493.023	436.078	408.787
ENSRNOG00000000196	9.65674	10.4974	6.70419	11.238	11.272	8.55898
ENSRNOG00000000199	0	0	0	0	0	0
ENSRNOG00000000201	21.6059	45.2671	32.5691	31.1168	37.2705	46.0006
ENSRNOG00000000204	1464.9742	1809.9676	1569.977	1611.0034	1633.9956	1683.9983
ENSRNOG00000000219	1002	1151	995	1125	1115	1088
ENSRNOG00000000221	462	672	607	561	515	570
ENSRNOG00000000230	331.547	373.376	337.016	350.278	353.675	348.446
ENSRNOG00000000231	695	700	749	734	715	696
ENSRNOG00000000233	35.0425	47.1769	43.6528	57.392	51.4473	57.8449
ENSRNOG00000000236	1339	1604	1466	1527	1493	1557
ENSRNOG00000000237	221	244	279	259	287	268
ENSRNOG00000000239	151	268	219	214	168	170
ENSRNOG00000000244	248	258	244	250	255	266
ENSRNOG00000000245	173.9997	267.9993	211.0002	210.9999	220.00016	226.0003
ENSRNOG00000000246	1389	1747	1584	1520	1559	1596
ENSRNOG00000000247	653	694	688	689	736	732
ENSRNOG00000000248	2507	2614	2448	2676	2663	2591
ENSRNOG00000000249	85	99	90	93	105	89
ENSRNOG00000000250	555	785	779	673	674	726
ENSRNOG00000000251	0	1	0	2	0	0
ENSRNOG00000000252	1	3	2	1	0	0
ENSRNOG00000000257	17	13	12	10	18	21
ENSRNOG00000000258	287	379	337	366	331	372
ENSRNOG00000000262	295	328	332	330	372	332
ENSRNOG00000000264	800	941	879	831	827	818
ENSRNOG00000000274	2	3	7	5	6	6
ENSRNOG00000000275	18	19	20	14	17	25
ENSRNOG00000000277	357.000000379675	402.000000881969	348	423	445	379
ENSRNOG00000000279	653	729	690	712	644	660
ENSRNOG00000000281	191.9997	197.0004	179	223	158.9997	164
ENSRNOG00000000282	0	0	0	0	1	0
ENSRNOG00000000283	554	633	638	605	547	567
ENSRNOG00000000288	482	477	560	542	553	569
ENSRNOG00000000299	1441.9961	1496.9963	1354.9997	1581.9977	1596.9957	1458.9985
ENSRNOG00000000302	1300.00327	1583.995	1377.001	1459.005	1467.0014	1459.005
ENSRNOG00000000303	209	233	242	236	211	220
ENSRNOG00000000304	6089	6626	6319	6534	6589	6852
ENSRNOG00000000306	476	529	504	529	511	501
ENSRNOG00000000307	316	341	319	340	367	357
ENSRNOG00000000308	269.256	342.3	348.38	313.888	346.709	356.066
ENSRNOG00000000312	516	571	534	575	632	578
ENSRNOG00000000314	1454.002	1618.002	1486.001	1512.999	1711.999	1576
ENSRNOG00000000316	277	259	306	308	304	280
ENSRNOG00000000320	0	0	0	0	0	0
ENSRNOG00000000321	53	60	54	67	43	63
ENSRNOG00000000322	466	619	520	588	551	572
ENSRNOG00000000323	122	121	123	140.99953	110	131
ENSRNOG00000000327	304	410	345	364	405	392
ENSRNOG00000000335	2	7	1	0	3	2
ENSRNOG00000000340	2444.003	3287.9964	2833.0022	2843.9983	2992.9983	3130.0022
ENSRNOG00000000341	1925.26	1989.91	1878.11	2113.36	1971.04	1952.97
ENSRNOG00000000345	0	0	0	0	0	0
ENSRNOG00000000368	6	2	6	5	5	8
ENSRNOG00000000373	282	328	282	314	277	297
ENSRNOG00000000376	0	0	0	0	0	0
ENSRNOG00000000378	320.444	368.78	342.074	433.207	398.848	435.652
ENSRNOG00000000383	1429.0000007635	1572	1528.0000112443	1533.00000764675	1485	1475.00000041581
ENSRNOG00000000384	1	2	0	0	0	1
ENSRNOG00000000386	12	28	24	23	30	20
ENSRNOG00000000387	589.638	676.651	654.359	646.004	690.735	777.52
ENSRNOG00000000390	157.5	206.5	179.5	202	185	215
ENSRNOG00000000392	857	1010.9997	990	869	940.9998	924.0002
ENSRNOG00000000394	23.35897	30.11967	29.1758	23.1381	25.1632	32.0244
ENSRNOG00000000395	1326	1418	1399	1396	1415	1514
ENSRNOG00000000396	579	692.0003	612.0002	699.0003	670.0004	632.0001
ENSRNOG00000000397	2116	2616	2570	2374	2316	2444
ENSRNOG00000000398	327	373	378	345	368	390
ENSRNOG00000000401	0	0	0	0	0	0
ENSRNOG00000000405	0	0	0	1	0	0
ENSRNOG00000000406	8	5	6	9	6	8
ENSRNOG00000000407	210	261	248	230	212	210
ENSRNOG00000000408	514.451	579.981	490.487	563.378	580.149	561.554
ENSRNOG00000000410	1	0	0	0	0	1
ENSRNOG00000000411	1350.45	1427.92	1364.61	1418.98	1503.14	1626.04
ENSRNOG00000000412	28	50	26	31	27	26
ENSRNOG00000000413	19736	24312	21096	23459	23445	24497
ENSRNOG00000000414	134	117	134.99954	138.9998	115	144
ENSRNOG00000000415	695	906	762	779	867	887
ENSRNOG00000000417	6524.29	6211.56	5957.81	7173.08	6680.97	6264.96
ENSRNOG00000000418	178	193	168	173	191	196
ENSRNOG00000000419	0	6.29185	13.5548	19.61977	0	0
ENSRNOG00000000420	741.9998	922.0003	821.0002	797.9995	793.0005	877.9997
ENSRNOG00000000421	1207	1325	1258	1343	1213	1216
ENSRNOG00000000422	187	202	218	223	214	229
ENSRNOG00000000423	146	155	152	179	172	154
ENSRNOG00000000428	2	2	4	5	5	4
ENSRNOG00000000431	1135.002456	1327.9983861	1239.0027	1217.99996	1195.99712	1230.00337
ENSRNOG00000000432	254	307	310	283	351	347
ENSRNOG00000000433	8	9	13	5	17.00003	20.99998
ENSRNOG00000000435	902.99957	1059.00019	1012.00025	1069.00001004529	1087.99976	1093.00013
ENSRNOG00000000436	19.00004	30.99996	30	33	42	44.00002
ENSRNOG00000000437	2339.00028	2707.995	2606.0047	2512.00167	2618.9989	2591.9967
ENSRNOG00000000438	1345.00401	1269.99787	1235	1363.00254	1417.99673	1370.99696
ENSRNOG00000000439	48.00002	46.99998	43.99997	52.00007	52.99997	55.00004197
ENSRNOG00000000440	712.99998	734	646.99962	708.99951	706.00036	741
ENSRNOG00000000441	20	8	17	14	22	11
ENSRNOG00000000442	128	124	129	165	176	182
ENSRNOG00000000443	23.2184	40.70192	33	32.3287	35.616	34.8789
ENSRNOG00000000446	0	0	0	0	0	0
ENSRNOG00000000451	3	2	4	4	3	2
ENSRNOG00000000454	0	1	1	0	0	0
ENSRNOG00000000455	334.464	443.305	362.555	358.521	344.33	350.341
ENSRNOG00000000456	193.239623	235.187438	177.66078	191.5971	181.40539	200.13568
