gene	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6
ENSRNOG00000000001	19	18	16	15	10	13
ENSRNOG00000000007	0	2	1	2	0	2
ENSRNOG00000000008	10.1554	12.0939	6.09693	2.49704	8.0342	11.9753
ENSRNOG00000000009	5	2	4	7	2	10
ENSRNOG00000000010	1	2	5	3	10	3
ENSRNOG00000000012	20.2846	30.9982	35.7682	22.0051	29.6497	30.6968
ENSRNOG00000000017	75	44	58	61	88	88
ENSRNOG00000000021	280.526	311.157	352.59	323	328.804	345
ENSRNOG00000000024	684	586	731	654	622	806
ENSRNOG00000000033	620	521	648	558	582	582
ENSRNOG00000000034	97	103	92	96	103	102
ENSRNOG00000000035	1	0	0	1	0	0
ENSRNOG00000000036	214	175	153	158	148	161
ENSRNOG00000000040	830.00048	670	733.99995	667.00007	689.99965	720.00013
ENSRNOG00000000041	69.1031	73.1199	68.161	69	71.1975	70
ENSRNOG00000000042	1613.9972	1413.001	1380.0035	1628.996	1341.9987	1630.0027
ENSRNOG00000000043	862.897	777.88	815.839	679	685.803	780
ENSRNOG00000000044	714	525	631	656	585	682
ENSRNOG00000000047	1273	1136	1170	1152	1163	1344
ENSRNOG00000000048	1305	1077	1291	1218	1140	1377
ENSRNOG00000000053	137.57492	140.791	141.63905	123.69658	128.44264	156.404
ENSRNOG00000000054	1302	1155	1529	1329	1331	1645
ENSRNOG00000000055	0	0	0	0	0	0
ENSRNOG00000000060	106	87	63	75	80	91
ENSRNOG00000000062	649	638	618	623	608	666
ENSRNOG00000000064	4522	4077	4695	4377	4218	5750
ENSRNOG00000000065	0	0	0	0	0	1
ENSRNOG00000000066	608	519	567	561	545	639
ENSRNOG00000000068	3680	3291	3380	3344	2959	3749
ENSRNOG00000000070	1117.92	964.877	1034.3	1141.08	1079	1277.46
ENSRNOG00000000073	190	181	211	224	208	280
ENSRNOG00000000075	540	456	461	540	510	690
ENSRNOG00000000081	904	705	794	817	783	902
ENSRNOG00000000082	1914.556	1907.017	1808.248	1756.344	1670.017	2535.559
ENSRNOG00000000091	158.524	132.001	147.16	142.676	160.102	167.867
ENSRNOG00000000095	820	662	787	756	716	906
ENSRNOG00000000096	149	147	129	147	147	161
ENSRNOG00000000097	0	0	1	0	0	0
ENSRNOG00000000098	1928	1668	1830	1809	1729	2414
ENSRNOG00000000104	819	751	857	893	820	1002
ENSRNOG00000000105	312	243.99955	304.00001	269	225	295.9996
ENSRNOG00000000108	558	454	531	506	491	629
ENSRNOG00000000109	0	0	0	0	0	0
ENSRNOG00000000111	294	273	264	296	251	299
ENSRNOG00000000112	702.601	668.448	623.659	650.623	635.596	783.497
ENSRNOG00000000113	200.003	180.006	176.993	195.032	142.856	221.227
ENSRNOG00000000121	301.466	257.4441	282.1447	277.4908	262.0457	304.0498
ENSRNOG00000000122	1588	1477.77	1731	1657	1630	1943
ENSRNOG00000000123	1364.99901	1185	1325	1161	1172.00094	1294
ENSRNOG00000000124	0	0	0	0	0	0
ENSRNOG00000000127	2002.997	1811	1907.004	2029.999	1945.0021	2224.002
ENSRNOG00000000129	66	58	89	68	75	80
ENSRNOG00000000130	648.9997	547.9999	621.9998	587.9996	547.0003	695.9997
ENSRNOG00000000133	1171	1035	1204	1110	1034	1289
ENSRNOG00000000137	1	4	2	5	4	2
ENSRNOG00000000138	50.99999	42.00001	36	44.99999	42	28
ENSRNOG00000000142	134	113	135	141	117	129
ENSRNOG00000000145	796	632	689	746	707	820
ENSRNOG00000000150	587	544	652	651	601	835
ENSRNOG00000000151	302	257	325	291	308	323
ENSRNOG00000000155	560	527	446	527	512	601
ENSRNOG00000000156	121.0000022544	117.9999502	139.00005062	106.0000624	108.9999897	117.0000269
ENSRNOG00000000157	687	686	645	728	608	918
ENSRNOG00000000158	24	36	36	28	34	36
ENSRNOG00000000161	371.000482	349	377	350	315	509
ENSRNOG00000000164	2853	2434	2455	2614	2467	3163
ENSRNOG00000000165	19	14	16.00001	16	15.00005	22.000035
ENSRNOG00000000166	99	84	95	96	83	111
ENSRNOG00000000167	1	4	2	4	10	3
ENSRNOG00000000168	397.198	374	413	412	372	475
ENSRNOG00000000169	235.067	221.555	266.212	240.872	251.458	293.008
ENSRNOG00000000170	1648	1565	1468	1689	1527	2068
ENSRNOG00000000172	260	228	244	239	240	316
ENSRNOG00000000175	590.9997	494.9999	552.9998	537	519	586
ENSRNOG00000000177	162	167	177	169	138	202
ENSRNOG00000000184	25	13	13	17	18	18
ENSRNOG00000000185	1091	994	1206	1220	1060	1414
ENSRNOG00000000186	805	682	770	770	690	837
ENSRNOG00000000187	83	74	76	86	95	85
ENSRNOG00000000190	685	534	586	491	494	459
ENSRNOG00000000195	403.116	296.426	322.939	412.912	327.216	406.189
ENSRNOG00000000196	12.3728	12.671	14.4128	7.68184	5.58525	11.8425
ENSRNOG00000000199	0	0	0	0	0	0
ENSRNOG00000000201	215.843	167.329	222.87	223.826	203.432	291.457
