gene	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6
ENSRNOG00000000001	29	28	22	27	33	16
ENSRNOG00000000007	5	3	1	2.999996	5	4
ENSRNOG00000000008	9.12707	12.0868	10.9539	8.75862	10.0523	7.03501
ENSRNOG00000000009	32	17	5	6	16	29
ENSRNOG00000000010	0	2	0	0	3	1
ENSRNOG00000000012	16.679	35.6001	16.7574	29.8319	24.7454	22.7534
ENSRNOG00000000017	152	140	89	122	131	132
ENSRNOG00000000021	366.603	297	247	355.589	325.58	281.563
ENSRNOG00000000024	608	697	481	624	609	684
ENSRNOG00000000033	639	506	581	679	609	578
ENSRNOG00000000034	127	102	124	117	122	131
ENSRNOG00000000035	1	0	0	0	0	0
ENSRNOG00000000036	138	175	260	266	171	115
ENSRNOG00000000040	1023.00066	836.99941	879.00014	1054.99967	930.9997	829.99949
ENSRNOG00000000041	103.095	64.211	97.0804	104.095	79.139	88.2938
ENSRNOG00000000042	2122.002	1777.996	1624.996	1860.002	1578.005	1681.003
ENSRNOG00000000043	662.905	575.789	752.92	671.905	718.861	551.706
ENSRNOG00000000044	669	560	569	744	655	513
ENSRNOG00000000047	1591	1574	1532	1580	1491	1503
ENSRNOG00000000048	1333	1211	1205	1373	1211	1111
ENSRNOG00000000053	158.971	162.12	184.46077	109.39025	146.14487	169.984
ENSRNOG00000000054	1106	1054	1397	1338	1160	1081
ENSRNOG00000000055	0	0	0	0	0	1
ENSRNOG00000000060	112	108	84	120	126	106
ENSRNOG00000000062	670	721	575	691	641	655
ENSRNOG00000000064	4386	4986	4972	5061	4562	4548
ENSRNOG00000000065	1	0	0	0	1	0
ENSRNOG00000000066	571	580	546	661	524	596
ENSRNOG00000000068	2451	2427	3242	3181	2601	2433
ENSRNOG00000000070	1400.12	1350.6	1037.1	1166.36	1165.12	1228.43
ENSRNOG00000000073	225	251	209	222	228	259
ENSRNOG00000000075	484	559	507	462	484	535
ENSRNOG00000000081	1237	1117	1045	1013	1127	1074
ENSRNOG00000000082	2829.752	2917.832	2850.906	2202.459	2275.053	3099.804
ENSRNOG00000000091	345.004	331.553	190.005	328.519	284.574	292.717
ENSRNOG00000000095	847	848	815	816	758	755
ENSRNOG00000000096	214.99955	210	205	183	163	173
ENSRNOG00000000097	2	0	0	2	0	0
ENSRNOG00000000098	4521	5617	2367	3602	3882	4461
ENSRNOG00000000104	864	900	924	961	852	794
ENSRNOG00000000105	326	339.9998	334	379.99989	337	313.00016
ENSRNOG00000000108	468	473	614	567	520	444
ENSRNOG00000000109	0	0	0	0	0	0
ENSRNOG00000000111	248	263	279	301	280	253
ENSRNOG00000000112	719.075	582.731	616.596	721.691	630.322	591.187
ENSRNOG00000000113	166.594	154.05	150.061	136.392	148.477	140.589
ENSRNOG00000000121	341.2987	287.755	284.2309	368.0472	273.03	264.4453
ENSRNOG00000000122	1990	2138	1895	2360	2071.82	2056.83
ENSRNOG00000000123	936	986	845	1013	978	767
ENSRNOG00000000124	0	1	0	0	0	0
