gene	DMSO2_6	DMSO2_6	DMSO2_6	DMSO2_6	DMSO2_6	DMSO2_6	DMSO2_6
ENSRNOG00000000001	15	24	28	33	26	21	16
ENSRNOG00000000007	3	2	0	6	1	1	5
ENSRNOG00000000008	10.9083	5.07729	8.01382	9.14333	15.1081	10.0588	8.0329
ENSRNOG00000000009	8	8	11	4	3	4	5
ENSRNOG00000000010	3	0	0	1	1	4	1
ENSRNOG00000000012	50.4559	45.7314	48.8219	25.2831	31.4014	34.2413	29.1272
ENSRNOG00000000017	86	98	104	115	103	101	94
ENSRNOG00000000021	307	306.561	264	352	305	321.596	264.563
ENSRNOG00000000024	531	546	473	538	465	449	515
ENSRNOG00000000033	577	608	510	620	532	522	520
ENSRNOG00000000034	135	149	143	145	119	153	126
ENSRNOG00000000035	0	0	0	1	0	0	0
ENSRNOG00000000036	256	285	263	380	254	267	274
ENSRNOG00000000040	782.00119	883	725.0004788	1058.999	915.00055	903.00053	810.00015
ENSRNOG00000000041	71	124.33	70.2224	111.162	59.1551	103.337	73
ENSRNOG00000000042	1395.999	1650.998	1578.9974	2039.0043	1611.9948	1574.998	1271.9974
ENSRNOG00000000043	644	683.67	595.778	855.838	735.845	761.663	641
ENSRNOG00000000044	508	645	468	719	578	658	559
ENSRNOG00000000047	1536	1692	1558	1845	1687	1673	1677
ENSRNOG00000000048	1176	1201	1103	1431	1294	1301	1164
ENSRNOG00000000053	119.48082	126.217	135.70641	149.59	117.44549	163.29882	112.11683
ENSRNOG00000000054	1412	1515	1308	1334	1235	1321	1359
ENSRNOG00000000055	1	0	0	0	0	0	1
ENSRNOG00000000060	56	71	73	92	79	73	81
ENSRNOG00000000062	533	578	527	704	572	587	510
ENSRNOG00000000064	4971	5176	4903	4842	4131	3556	4883
ENSRNOG00000000065	0	0	0	0	1	0	1
ENSRNOG00000000066	532	519	503	561	505	518	461
ENSRNOG00000000068	3325	3262	3021	3232	3096	2781	2778
ENSRNOG00000000070	935.38	1067.22	911.487	1126.35	963.187	968.244	872
ENSRNOG00000000073	187	206	182	205	186	175	164
ENSRNOG00000000075	421	471	406	539	432	421	388
ENSRNOG00000000081	917	970	879	1245	1073	949	871
ENSRNOG00000000082	2102.131	2479.755	2818.733	2929.109	2521.626	2805.871	2420.606
ENSRNOG00000000091	148.363	241.685	141.552	228.477	205.592	225.445	163.124
ENSRNOG00000000095	822	859	792	962	755	775	743
ENSRNOG00000000096	186.99976	175	170	262	196	211	173
ENSRNOG00000000097	0	1	1	1	0	2	0
ENSRNOG00000000098	2381	2358	2454	2551	2294	2179	2192
ENSRNOG00000000104	790	923	782	996	866	912	853
ENSRNOG00000000105	324	349	340	438	403	376.99983	320
ENSRNOG00000000108	556	602	527	673	561	577	551
ENSRNOG00000000109	0	0	0	0	0	0	0
ENSRNOG00000000111	257	284	303	247	267	231	268
ENSRNOG00000000112	575.521	649.189	522.276	727.455	680.756	679.066	594.116
ENSRNOG00000000113	133.658	175.063	140.618	153.607	164.75	147.837	138.219
ENSRNOG00000000121	281.1834	296.25	298.17765	327.2878	298.1025	281.6243	323.5065
ENSRNOG00000000122	1832.81	1959.84	1861.8	1960	1786	1675	1901
ENSRNOG00000000123	782	917	680	898	778	793	711
ENSRNOG00000000124	0	0	0	0	0	0	0
ENSRNOG00000000127	1981.003	2119	1840.999	2489.997	2171	2122.999	1852.995
ENSRNOG00000000129	62	104	87	115	84	117	93
ENSRNOG00000000130	647.0004	692	581.0005	754.0004	723.0002	685.0002	666.9999
ENSRNOG00000000133	1225	1383	1313	1363	1182	1141	1167
ENSRNOG00000000137	2	1	4	2	6	2	4
ENSRNOG00000000138	24.000000046506	41.00004	21.00005	38	39	38	43.00005
ENSRNOG00000000142	163	151	119	236	210	189	156
ENSRNOG00000000145	754	795	759	1037	935	808	683
ENSRNOG00000000150	558	614	625	647	612	547	599
ENSRNOG00000000151	172	231	227	245	222	254	197
ENSRNOG00000000155	508	493	508	647	524	530	408
ENSRNOG00000000156	167.9999103	199.9998717	165.9999991	207.0004005	210.9996853	236.9994834	177.0003481
ENSRNOG00000000157	502	504	503	613	546	526	469
ENSRNOG00000000158	35	31	32	43	51	31	51
ENSRNOG00000000161	304	339	382	455	336.000000066987	428	351
