gene	Dox_6	Dox_6	Dox_6	Dox_6	Dox_6	Dox_6	Dox_6
ENSRNOG00000000001	14	14	8	13	9	8	3
ENSRNOG00000000007	3	1	0	3	1	0	1
ENSRNOG00000000008	8.04278	14.1876	15.047	11.4779	12.8674	11.1412	6.06394
ENSRNOG00000000009	19	16	34	20	12	4	9
ENSRNOG00000000010	4	2	4	0	1	1	1
ENSRNOG00000000012	14.4475	20.2039	15.5297	16.1301	16.9045	20.4282	18.3367
ENSRNOG00000000017	93	120	132	76	112	92	95
ENSRNOG00000000021	168.644	238	172.643	226.686	152	154.339	170.331
ENSRNOG00000000024	675	710	704	666	630	666	588
ENSRNOG00000000033	521	563	471	474	519	463	469
ENSRNOG00000000034	321	345	302	343	300	316	283
ENSRNOG00000000035	0	0	0	0	0	0	0
ENSRNOG00000000036	393	365	385	387	313	315	345
ENSRNOG00000000040	466.9998	467.99991	435.00008	429.00028	412.99959	339.99972	375.99979
ENSRNOG00000000041	48.1093	70.1026	48	62.3208	37.0938	42.0759	40.2514
ENSRNOG00000000042	1484.9975	1659.001	1398.999	1522.999	1275.9994	1329	1284.9993
ENSRNOG00000000043	862.891	878.897	855	748.679	779.906	723.924	733.749
ENSRNOG00000000044	294	287	301	327	255	228	254
ENSRNOG00000000047	1542	1304	1469	1221	1339	1268	1204
ENSRNOG00000000048	1407	1407	1203	1310	1167	1121	1115
ENSRNOG00000000053	107.508	158.097	166.85582	171.749	129.687	143.005	127.98931
ENSRNOG00000000054	822	930	831	850	762	748	1017
ENSRNOG00000000055	0	0	0	1	2	0	0
ENSRNOG00000000060	45	45	62	95	44	53	55
ENSRNOG00000000062	577	588	501	580	471	489	505
ENSRNOG00000000064	5140	5286	5198	4936	5193	5547	5546
ENSRNOG00000000065	1	0	0	0	0	0	0
ENSRNOG00000000066	628	716	599	706	503	559	569
ENSRNOG00000000068	2357	2704	2685	2398	2337	2598	2657
ENSRNOG00000000070	1285.39	1328.96	1342.72	1267.59	1197.94	1317.56	1181
ENSRNOG00000000073	147	186	202	183	147	156	177
ENSRNOG00000000075	359	456	415	437	359	380	364
ENSRNOG00000000081	1074	1017	961	752	864	945	868
ENSRNOG00000000082	2233.168	2797.859	2997.924	2232.792	2466.311	2887.034	2958.875
ENSRNOG00000000091	104.342	91.1457	92.6846	112.887	82.2957	74.5972	76.7188
ENSRNOG00000000095	949	1092	898	805	828	907	951
ENSRNOG00000000096	162	203	186	173	162.00045	161	186.00001
ENSRNOG00000000097	0	1	0	1	2	1	0
ENSRNOG00000000098	2302	2546	2573	2256	2126	2403	1516
ENSRNOG00000000104	617	622	597	613	531	513	580
ENSRNOG00000000105	138	152	130	111	105	76	91
ENSRNOG00000000108	533	503	608	507	497	535	623
ENSRNOG00000000109	0	0	0	0	0	0	0
ENSRNOG00000000111	251	256	264	234	218	215	287
ENSRNOG00000000112	314.122	329.798	272.125	306.491	230.475	255.525	274.981
ENSRNOG00000000113	32.0195	33.4271	35.7636	26.6493	24.1995	24.661	16.804
ENSRNOG00000000121	143.6119	163.4514	160.2615	171.4437	115.0165	112.57	113.0005
ENSRNOG00000000122	1722.78	1747.81	1872	1682	1601	1679	1613
ENSRNOG00000000123	1331	1443	1369	1208	1206	1089	967
ENSRNOG00000000124	0	0	0	0	0	0	0
ENSRNOG00000000127	1512.996	1660.998	1397.005	1647.002	1363.997	1311.003	1237.998
ENSRNOG00000000129	141	172	109	189	113	126	48
ENSRNOG00000000130	909	841	803	711.0002	811	685	528.0004
ENSRNOG00000000133	1092	1093	1091	931	1003	988	1182
ENSRNOG00000000137	4	0	1	2	5	6	5
ENSRNOG00000000138	26	28.00001	20.00002	41	23	13	18
ENSRNOG00000000142	106	118	106	101	105	118	127
ENSRNOG00000000145	699	841	731	655	651	727	430
ENSRNOG00000000150	655	626	704	520	642	596	573
ENSRNOG00000000151	195	187	176	175	156	151	179
ENSRNOG00000000155	477	506	523	567	452	476	505
ENSRNOG00000000156	328.00045665	307.0003868	298.999675	185.00020826786	294.999957	165.0001188	224.9997397
ENSRNOG00000000157	461	494	497	559	433	432	452
ENSRNOG00000000158	98	88	103	51	82	88	130
ENSRNOG00000000161	276	395	342	310	311	324	346
ENSRNOG00000000164	2567	2701	2623	2760	2295	2547	2817
ENSRNOG00000000165	10.0000000613586	21	12	20	11.999954	10	16.99997
ENSRNOG00000000166	185	155	141	141	143	132	174
ENSRNOG00000000167	8	8	4	12	9	7	4
ENSRNOG00000000168	703	640	670	574.347	570.33	474	259
ENSRNOG00000000169	523.315	492.624	488.074	569.751	406.315	497.813	453.697
ENSRNOG00000000170	1292	1578	1446	1190	1192	1384	1214
ENSRNOG00000000172	186	130	160	95	161	152	160
ENSRNOG00000000175	381	391.0004	409.0001	356.9999	320.0001	315.0001	347.9998
ENSRNOG00000000177	217	244	230	181	192	193	166
ENSRNOG00000000184	5	18	11	14	12	9	9
ENSRNOG00000000185	1094	1282	1193	1073	1031	1128	1260
ENSRNOG00000000186	767	781	829	593	643	740	926
ENSRNOG00000000187	66	55	43	79	42	42	30
ENSRNOG00000000190	486	528	334	536	443	321	312
ENSRNOG00000000195	285.88	346.212	280.052	153.765	301.832	366.537	264.78
ENSRNOG00000000196	6.31507	13.3439	12.6254	17.4808	8.33035	7.60085	2.54314
ENSRNOG00000000199	0	0	0	0	0	0	0
ENSRNOG00000000201	226.028	205.161	241.068	225.767	189.372	248.685	202.289
ENSRNOG00000000204	988.0004	1242.9845	1192.0023	1208.9871611404	1056.99947	1079.98	996.9997
ENSRNOG00000000219	1042	1178	1059	1015	902	992	1014
ENSRNOG00000000221	658	718	704	720	551	689	660
ENSRNOG00000000230	419.741	451.384	410.83	565.825	327.388	381.754	406.111
ENSRNOG00000000231	661	641	639	480	583	494	520
ENSRNOG00000000233	22.8316	25.9821	27.5448	35.113	40.273	26.7127	18.0528
ENSRNOG00000000236	2014	2139	2090	2175	1713	1875	1805
ENSRNOG00000000237	147	160	165	167	118	134	138
ENSRNOG00000000239	114	123	100	93	105	87	54
ENSRNOG00000000244	88	93	121	140	93	113	94
ENSRNOG00000000245	549.0003	526.0001	529.0001	565.0001	521.0002	439.9994	392.0002
ENSRNOG00000000246	484	598	512	542	443	562	597
ENSRNOG00000000247	415	481	471	365	360	401	457
ENSRNOG00000000248	3564	3983	4177	3338	3435	3725	3106
ENSRNOG00000000249	173	165	173	195	185	135	150
ENSRNOG00000000250	251	281	251	358	215	248	222
ENSRNOG00000000251	4	6	14	12	8	6	7
ENSRNOG00000000252	1	1	1	1	1	1	0
ENSRNOG00000000257	41	52	41	33	40	27	40
ENSRNOG00000000258	883	888	808	793	746	785	768
ENSRNOG00000000262	405	422	471	368	334	339	384
ENSRNOG00000000264	407	427	363	414	417	371	432
ENSRNOG00000000274	15	21.00003	19.00003	24.00001	12	18.99996	18
ENSRNOG00000000275	23	19	20	15	13	15	28
ENSRNOG00000000277	296	351.00027	326	388.00000153753	272	293	385
ENSRNOG00000000279	994	981	951	1221	902	942	952
ENSRNOG00000000281	231.9999	290	275.0003	280	292	291	310
ENSRNOG00000000282	2	0	0	1	0	0	0
ENSRNOG00000000283	296	273	301	313	271	275	271
ENSRNOG00000000288	606	741	580	569	585	545	564
ENSRNOG00000000299	1196.0041	1250.0011	900	1034	896.0001	865.0001	796.9996
ENSRNOG00000000302	490.00019	523	597	474.0001	499	498.000000645109	530
ENSRNOG00000000303	79	83	104	72	77	69	74
ENSRNOG00000000304	5983	6609	6556	6845	5243	5595	6067
ENSRNOG00000000306	316	313	342	291	311	261	311
ENSRNOG00000000307	399	398	400	329	351	335	328
