gene	riptide	baba
b4262	0	1
b2323	0	1
b3843	1	1
b2234	1	1
b2779	1	1
b0179	0	1
b0918	0	1
b0414	1	1
b1131	0	1
b1093	0	1
b0524	0	1
b0181	0	1
b2153	1	1
b0421	1	1
b0893	0	1
b0475	1	1
b0173	1	1
b2585	1	1
b3288	0	1
b2615	1	1
b2747	1	1
b2563	0	1
b2316	1	1
b0886	0	1
b0171	0	1
b0174	1	1
b1866	0	1
b1912	1	1
b2926	1	1
b0583	0	1
b3967	0	1
b0084	0	1
b1069	1	1
b1092	0	1
b0657	0	1
b1210	1	1
b0684	0	1
b0090	1	1
b2942	1	1
b0529	1	1
b3730	1	1
b0185	1	1
b3639	1	1
b3650	0	1
b3200	0	1
b4261	0	1
b0635	0	1
b0154	1	1
b0126	0	1
b0142	1	1
b0048	0	1
b2315	1	1
b0085	0	1
b0025	1	1
b3804	1	1
b4040	1	1
b1876	0	1
b3189	1	1
b0639	0	1
b3850	1	1
b1098	1	1
b0166	0	1
b0526	0	1
b0914	1	1
b1215	0	1
b2400	1	1
b2780	0	1
b1740	0	1
b0415	1	1
b4084	0	1
b3041	1	1
b3793	0	1
b1714	0	1
b2411	0	1
b1208	1	1
b1207	0	1
b2533	0	1
b3384	0	1
b0420	1	1
b3729	0	1
b0086	1	1
b0180	0	1
b3648	1	1
b1288	0	1
b0175	1	1
b1277	1	1
b3433	0	1
b0642	0	1
b2478	0	1
b3608	1	1
b0417	1	1
b2515	1	1
b2114	0	1
b0369	1	1
b1662	1	1
b1094	1	1
b3255	1	1
b3633	0	1
b0091	0	1
b2472	0	1
b0087	1	1
b3623	0	1
b0680	0	1
b0096	0	1
b3018	1	1
b1713	0	1
b2514	0	1
b4226	0	1
b0029	1	1
b0182	0	1
b1779	1	1
b0733	0	1
b2925	0	1
b3187	1	1
b3199	0	1
b0031	0	1
b0915	0	1
b3709	0	1
b3634	1	1
b3972	1	1
b4258	0	1
b1719	0	1
b3805	1	1
b2746	1	1
b0088	0	1
b4160	1	1
b3560	0	1
b3835	1	1
b0194	0	1
b4041	1	1
b0474	1	1
b0954	0	1
b3640	0	1
b2235	1	1
b3256	1	1
b0930	0	1
b1637	0	1
