reactions,GIMME,iMAT,MBA,CORDA,RegrEx
DM_4crsol_c,1,0,0,0,0
DM_5drib_c,1,0,1,0,0
DM_aacald_c,1,0,0,0,0
DM_amob_c,1,0,0,0,0
DM_mththf_c,1,0,1,0,0
DM_oxam_c,1,0,0,0,0
BIOMASS_Ec_iJO1366_WT_53p95M,1,1,1,0,1
BIOMASS_Ec_iJO1366_core_53p95M,1,0,0,0,0
EX_12ppd__R_e,1,0,1,0,0
EX_12ppd__S_e,1,0,0,0,0
EX_14glucan_e,1,0,0,0,0
EX_15dap_e,1,0,0,0,0
EX_23camp_e,1,0,0,0,0
EX_23ccmp_e,1,0,0,0,0
EX_23cgmp_e,1,0,0,0,0
EX_23cump_e,1,0,0,0,0
EX_23dappa_e,1,0,0,0,0
EX_26dap__M_e,1,0,0,0,0
EX_2ddglcn_e,1,0,0,0,0
EX_34dhpac_e,1,0,0,0,0
EX_3amp_e,1,0,0,0,0
EX_3cmp_e,1,0,0,0,0
EX_3gmp_e,1,0,0,0,0
EX_3hcinnm_e,1,0,0,0,0
EX_3hpp_e,1,0,0,0,0
EX_3hpppn_e,1,0,0,0,0
EX_3ump_e,1,0,0,0,0
EX_4abut_e,1,0,0,0,0
EX_4hoxpacd_e,1,0,0,0,0
EX_5dglcn_e,1,0,0,0,0
EX_5mtr_e,1,0,0,0,0
EX_LalaDglu_e,1,0,0,0,0
EX_LalaDgluMdap_e,1,0,1,0,0
EX_LalaDgluMdapDala_e,1,0,1,0,0
EX_LalaLglu_e,1,0,0,0,0
EX_ac_e,1,0,0,0,1
EX_acac_e,1,0,0,0,0
EX_acald_e,1,0,1,0,0
EX_acgal_e,1,0,0,0,0
EX_acgal1p_e,1,0,0,0,0
EX_acgam_e,1,0,0,0,0
EX_acgam1p_e,1,0,0,0,0
EX_acmana_e,1,0,0,0,0
EX_acmum_e,1,0,0,0,0
EX_acnam_e,1,0,0,0,0
EX_acolipa_e,1,0,0,0,0
EX_acser_e,1,0,1,0,0
EX_ade_e,1,0,0,0,0
EX_adn_e,1,0,0,0,0
EX_adocbl_e,1,0,0,0,0
EX_ag_e,1,0,0,0,0
EX_agm_e,1,0,1,0,0
EX_akg_e,1,0,1,0,0
EX_ala_B_e,1,0,0,0,0
EX_ala__D_e,1,0,1,0,0
EX_ala__L_e,1,0,0,0,0
EX_alaala_e,1,0,1,0,0
EX_all__D_e,1,0,0,0,0
EX_alltn_e,1,0,0,0,0
EX_amp_e,1,0,0,0,0
EX_anhgm_e,1,0,1,0,0
EX_arab__L_e,1,0,0,0,0
EX_arbt_e,1,0,0,0,0
EX_arbtn_e,1,0,0,0,0
EX_arbtn_fe3_e,1,0,0,0,0
EX_arg__L_e,1,0,1,0,0
EX_ascb__L_e,1,0,0,0,0
EX_asn__L_e,1,0,1,0,0
EX_aso3_e,1,0,0,0,0
EX_asp__L_e,1,0,1,0,0
EX_btn_e,1,0,0,0,0
EX_but_e,1,0,0,0,0
EX_butso3_e,1,0,0,0,0
EX_ca2_e,1,0,0,0,0
EX_cbi_e,1,0,0,0,0
EX_cbl1_e,1,0,0,0,0
EX_cd2_e,1,0,0,0,0
EX_cgly_e,1,0,0,0,0
EX_chol_e,1,0,0,0,0
EX_chtbs_e,1,0,0,0,0
EX_cit_e,1,0,0,0,0
EX_cl_e,1,0,0,0,0
EX_cm_e,1,0,0,0,0
EX_cmp_e,1,0,0,0,0
EX_co2_e,1,1,1,0,1
EX_cobalt2_e,1,0,0,0,0
EX_colipa_e,1,0,1,0,0
EX_colipap_e,1,0,1,0,0
EX_cpgn_e,1,0,0,0,0
EX_cpgn_un_e,1,0,0,0,0
EX_crn_e,1,0,0,0,0
EX_crn__D_e,1,0,0,0,0
EX_csn_e,1,0,0,0,0
EX_cu_e,1,0,0,0,0
EX_cu2_e,1,0,0,0,0
EX_cyan_e,1,0,0,0,0
EX_cynt_e,1,0,0,0,0
EX_cys__D_e,1,0,0,0,0
EX_cys__L_e,1,0,0,0,0
EX_cytd_e,1,0,1,0,0
EX_dad_2_e,1,0,0,0,0
EX_damp_e,1,0,0,0,0
EX_dca_e,1,0,0,0,0
EX_dcmp_e,1,0,0,0,0
EX_dcyt_e,1,0,0,0,0
EX_ddca_e,1,0,0,0,0
EX_dgmp_e,1,0,0,0,0
EX_dgsn_e,1,0,0,0,0
EX_dha_e,1,0,1,0,0
EX_dimp_e,1,0,0,0,0
EX_din_e,1,0,0,0,0
EX_dms_e,1,0,0,0,0
EX_dmso_e,1,0,0,0,0
EX_dopa_e,1,0,0,0,0
EX_doxrbcn_e,1,0,0,0,0
EX_dtmp_e,1,0,0,0,0
EX_dump_e,1,0,0,0,0
EX_duri_e,1,0,0,0,0
EX_eca4colipa_e,1,0,1,0,0
EX_enlipa_e,1,0,1,0,0
EX_enter_e,1,0,0,0,0
EX_etha_e,1,0,1,0,0
EX_ethso3_e,1,0,0,0,0
EX_etoh_e,1,1,1,0,1
EX_f6p_e,1,0,0,0,0
EX_fald_e,1,0,0,0,0
EX_fe2_e,1,0,1,0,0
EX_fe3_e,1,0,1,0,0
EX_fe3dcit_e,1,0,0,0,0
EX_fe3dhbzs_e,1,0,0,0,0
EX_fe3hox_e,1,0,0,0,0
EX_fe3hox_un_e,1,0,0,0,0
EX_fecrm_e,1,0,0,0,0
EX_fecrm_un_e,1,0,0,0,0
EX_feenter_e,1,0,0,0,0
EX_feoxam_e,1,0,0,0,0
EX_feoxam_un_e,1,0,0,0,0
EX_for_e,1,1,1,0,1
EX_fru_e,1,0,0,0,0
EX_frulys_e,1,0,0,0,0
EX_fruur_e,1,0,0,0,0
EX_fuc__L_e,1,0,0,0,0
EX_fum_e,1,0,0,0,0
EX_fusa_e,1,0,0,0,0
EX_g1p_e,1,0,0,0,0
EX_g3pc_e,1,0,0,0,0
EX_g3pe_e,1,0,1,0,0
EX_g3pg_e,1,0,1,0,0
EX_g3pi_e,1,0,0,0,0
EX_g3ps_e,1,0,0,0,0
EX_g6p_e,1,0,0,0,0
EX_gal_e,1,0,0,0,0
EX_gal_bD_e,1,0,0,0,0
EX_gal1p_e,1,0,0,0,0
EX_galct__D_e,1,0,0,0,0
EX_galctn__D_e,1,0,0,0,0
EX_galctn__L_e,1,0,0,0,0
EX_galt_e,1,0,0,0,0
EX_galur_e,1,0,0,0,0
EX_gam_e,1,0,0,0,0
EX_gam6p_e,1,0,0,0,0
EX_gbbtn_e,1,0,0,0,0
EX_gdp_e,1,0,0,0,0
EX_glc__D_e,1,1,1,0,1
EX_glcn_e,1,0,1,0,0
EX_glcr_e,1,0,0,0,0
EX_glcur_e,1,0,0,0,0
EX_glcur1p_e,1,0,0,0,0
EX_gln__L_e,1,0,0,0,0
EX_glu__L_e,1,0,1,0,0
EX_gly_e,1,0,1,0,0
EX_glyald_e,1,0,1,0,0
EX_glyb_e,1,0,0,0,0
EX_glyc_e,1,0,1,0,0
EX_glyc__R_e,1,0,0,0,0
EX_glyc2p_e,1,0,0,0,0
EX_glyc3p_e,1,0,1,0,0
EX_glyclt_e,1,0,1,0,1
EX_gmp_e,1,0,0,0,0
EX_gsn_e,1,0,0,0,0
EX_gthox_e,1,0,0,0,0
EX_gthrd_e,1,0,0,0,0
EX_gtp_e,1,0,0,0,0
EX_gua_e,1,0,0,0,0
EX_h_e,1,1,1,0,1
EX_h2_e,1,0,0,0,0
EX_h2o_e,1,0,1,0,1
EX_h2o2_e,1,0,0,0,0
EX_h2s_e,1,0,0,0,0
EX_hacolipa_e,1,0,0,0,0
EX_halipa_e,1,0,0,0,0
EX_hdca_e,1,0,0,0,0
EX_hdcea_e,1,0,0,0,0
EX_hg2_e,1,0,0,0,0
EX_his__L_e,1,0,0,0,0
EX_hom__L_e,1,0,1,0,0
EX_hxa_e,1,0,0,0,1
EX_hxan_e,1,0,0,0,0
