gene	aer_1 	aer_2	aer_3	anaer_1	anaer_2	anaer_3
aaeA	14	5	13	20	24	27
aaeB	11	2	10	36	33	40
aaeR	57	46	33	114	127	103
aaeX	7	0	8	5	4	5
aas	149	154	117	121	126	134
aat	41	32	31	23	21	43
abgA	5	5	3	15	6	8
abgB	18	9	5	29	33	25
abgR	18	14	15	9	11	10
abgT	11	5	5	25	18	19
abrB	14	11	20	82	85	77
accA	537	620	656	384	363	427
accB	973	822	806	491	499	413
accC	1482	1374	1720	854	838	888
accD	975	1011	1003	665	690	709
aceA	3238	3416	3522	2039	2013	2356
aceB	3645	3673	3609	4567	4776	4209
aceE	5551	5817	5661	8587	8506	8585
aceF	3017	2984	3218	3828	3873	3474
aceK	553	453	526	346	364	356
ackA	361	379	283	2277	2226	2402
acnA	571	540	477	448	470	416
acnB	4999	4999	5584	1080	1077	1024
acpH	20	18	10	11	27	24
acpP	2004	2033	1391	1392	1420	1609
acpS	20	30	20	52	79	58
acpT	45	30	20	158	137	186
acrA	470	457	513	391	277	278
acrB	1216	1238	1171	677	753	813
acrD	23	18	31	65	73	83
acrE	0	2	3	12	11	10
acrF	20	21	10	55	38	55
acrR	45	44	38	56	61	66
acs	248	211	260	15	18	24
actP	68	96	61	11	22	24
ada	23	14	26	66	87	98
add	70	76	84	77	67	75
ade	36	23	31	32	34	45
adhE	3001	2961	3032	9459	9734	9398
adhP	127	126	161	63	59	66
adiA	11	18	8	1748	1791	1848
adiC	2	5	0	3016	2970	3288
adiY	4	5	5	192	174	182
adk	826	751	613	846	869	740
adrA	4	9	8	29	19	23
adrB	13	9	5	31	24	36
aegA	13	16	15	73	80	101
aer	156	129	123	27	22	34
aes	4	5	13	8	23	17
agaB	0	0	0	1	1	3
agaC	2	0	3	1	4	3
agaD	4	0	0	4	5	7
agaI	2	0	3	7	4	7
agaR	101	85	107	137	157	169
agaS	0	0	3	29	19	20
agaV	4	0	3	3	2	4
agp	104	74	115	92	76	85
aidB	75	83	66	2951	2988	1625
ais	2	0	3	3	2	1
