Metabolite	Median_exchange_flux
L-alanine-L-glutamate	-27.589
O2_O2	-763.577
L-Valine	-0.039
Indole	-1000.0
L-Histidine	-0.009
Hexadecanoate_(n-C16:0)	-1.325
Nitrate	-482.231
Reduced_glutathione	-0.01
Magnesium	-0.001
L-tartrate	-126.039
Core_oligosaccharide_lipid_A	-0.001
L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine	-0.003
L-Phenylalanine	-0.017
L-Tyrosine	-0.013
L-Threonine	-1000.0
L-Isoleucine	-0.027
Citrate	-95.847
Potassium	-0.018
Butyrate_(n-C4:0)	-992.591
D-Alanyl-D-alanine	-7.039
