Metabolite	Median_exchange_flux
Deoxyadenosine	-550.084
Shikimate	-0.122
Molybdate	-0.009
L-Phenylalanine	-12.291
Ethanolamine	-157.761
Nickel	-0.021
D-Glucose_6-phosphate	-10.528
Guanine	-16.151
Spermidine	-0.46
L-Tyrosine	-9.149
L-Threonine	-76.706
Cytidine	-10.612
Hexadecanoate_(n-C16:0)	-8.282
Pyridoxal	-0.015
Potassium	-12.678
L-Methionine_Sulfoxide	-10.12
Manganese	-0.045
L-Serine	-20.932
O2_O2	-802.048
Chloride	-0.338
Adenosine	-13.616
S-Methyl-L-methionine	-0.091
L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate	-1.883
Co2+	-0.002
L-Arginine	-19.624
Thiamin	-0.015
Uridine	-9.566
Fe2+_mitochondria	-1.045
L-Proline	-14.666
Sulfate	-0.282
Adenosylcobalamin	-0.015
D-Fructose_6-phosphate	-46.628
L-Lysine	-22.767
Fe-enterobactin	-0.015
Putrescine	-2.272
Cu+	-534.158
Octadecenoate_(n-C18:1)	-3.32
2-Oxoglutarate	-980.255
Thymidine_C10H14N2O5	-1.694
Zinc	-0.022
L-Leucine	-29.89
Xanthosine	-204.204
Calcium	-0.338
NMN_C11H14N2O8P	-0.156
Hexadecenoate_(n-C16:1)	-6.442
Reduced_glutathione	-0.015
L-Histidine	-6.285
L-Malate	-16.084
L-Cysteine	-6.22
Nitrite	-230.709
D-Glucosamine_6-phosphate	-3.766
Magnesium	-0.563
L-Asparagine	-15.993
L-Tryptophan	-3.771
(R)-Pantothenate	-0.039
Core_oligosaccharide_lipid_A	-0.557
